beta_s,T_kin_gev,chi2,norm,n_val,delta_chi2,inside_68cl
0.1,0.27890903657380395,2844.4355043129167,83.1638965748432,0.10000022881907668,2008.041644307866,False
0.13541666666666669,0.2763828146051017,2802.264206022751,85.32180811017544,0.10000000056339661,1965.8703460177,False
0.17083333333333334,0.2728350059970501,2753.6038521284518,88.60369133912475,0.10000000006309723,1917.209992123401,False
0.20625,0.26816603684226076,2702.2851755137353,93.3483619184429,0.10000000007056928,1865.8913155086846,False
0.24166666666666667,0.26240871856742237,2651.9565932605083,99.78584216072761,0.10000004364584654,1815.5627332554575,False
0.27708333333333335,0.2556160308882683,2605.685256444104,108.25636140174866,0.10000006683216602,1769.2913964390534,False
0.3125,0.24800308286798606,2565.7219523896415,118.86987198756724,0.10000013006038283,1729.3280923845907,False
0.34791666666666665,0.2397179653703876,2533.4448538617125,131.9377257267412,0.10000000160964997,1697.0509938566618,False
0.3833333333333333,0.23094045072310682,2509.442178277233,147.72097737900071,0.10000000005510892,1673.048318272182,False
0.41874999999999996,0.24014318087838565,2479.7691181894725,131.31293462316773,0.6276411028879492,1643.3752581844217,False
0.4541666666666666,0.24117775019868543,2436.363796092176,129.72911523723198,0.9844958812363708,1599.9699360871252,False
0.48958333333333337,0.24110130760896378,2383.4719170966364,130.10277983326543,1.3357450979753813,1547.0780570915856,False
0.525,0.24050445518261426,2320.533736744187,131.50814865556865,1.7006584133479006,1484.1398767391363,False
0.5604166666666667,0.2395742534438532,2246.3066431437173,133.70338726649294,2.090015464286253,1409.9127831386666,False
0.5958333333333333,0.2383816065714219,2159.0878301427106,136.65468675582088,2.514259972447705,1322.6939701376598,False
0.63125,0.23693358326477867,2056.7250665530064,140.49962764146866,2.9866698566213192,1220.3312065479556,False
0.6666666666666666,0.23525214085418036,1936.5712986957044,145.3597707250049,3.5273647113298514,1100.1774386906536,False
0.7020833333333333,0.23171107601152025,1795.784477020536,154.94795922582222,3.999997622877966,959.3906170154853,False
0.7374999999999999,0.22201877884410204,1640.3025382729757,181.7138597584773,3.9999999799690458,803.9086782679249,False
0.7729166666666666,0.2106722218708713,1474.956535830796,221.27202606433116,3.9999999908853483,638.5626758257451,False
0.8083333333333332,0.19739851159926214,1302.93100070333,282.74189628785035,3.9999999983069894,466.53714069827925,False
0.84375,0.18187611937631867,1129.9646396369862,384.8124454457595,3.999999999581406,293.57077963193547,False
0.8791666666666667,0.16359537708674488,967.4625810100971,572.1775767836297,3.999999999532459,131.0687210050463,False
0.9145833333333333,0.14153522316253875,842.4080761711324,980.1069356801207,3.999999999868454,6.01421616608161,False
0.95,0.11295240779711029,836.3938600050508,2260.362445860564,3.999999999165391,0.0,True
