,norm_1,temperature_1,q_1,norm_2,temperature_2,q_2
norm_1,1.8847784436074935,-1.233292989908108e-05,1.089760018307844e-05,1.5357282095796938e-11,1.5299280412610223e-08,7.736636583018276e-10
temperature_1,-1.233292989908108e-05,6.129591913599279e-08,-1.516567368822368e-07,-1.481728068647881e-13,1.4310724524543063e-10,7.43013955317326e-12
q_1,1.089760018307844e-05,-1.516567368822368e-07,5.552466415759691e-07,4.0591438881391147e-13,-3.516253444479398e-10,-1.82154678438587e-11
norm_2,1.5357282095796938e-11,-1.481728068647881e-13,4.0591438881391147e-13,1.8847469051945211,-5.880369189314982e-07,-2.8790049060353884e-08
temperature_2,1.5299280412610223e-08,1.4310724524543063e-10,-3.516253444479398e-10,-5.880369189314982e-07,0.002567628410182871,6.63750528580159e-05
q_2,7.736636583018276e-10,7.43013955317326e-12,-1.82154678438587e-11,-2.8790049060353884e-08,6.63750528580159e-05,0.0011939008003699202
