,norm_1,temperature_1,beta_s_1,n_1,norm_2,temperature_2,beta_s_2,n_2,norm_3,temperature_3,beta_s_3,n_3
norm_1,179.40507748773334,-0.04067707609489584,-0.11641539136764097,3.2347243844094664,612.6806612372595,0.0005788049854583958,0.0030625728381758273,-0.0012480201894736185,-571.6549895719414,-0.009798504887326058,-0.02967933434712794,0.43972487209914063
temperature_1,-0.04067707609489584,0.00024839061013075774,-0.0002255998706102699,0.004417622384471795,-0.45283445917617443,-5.111049926520061e-07,4.666768965904494e-06,4.204823407476262e-07,-0.15127901985472625,-3.987007128518198e-06,-3.827252031980819e-05,0.0007346654341019269
beta_s_1,-0.11641539136764097,-0.0002255998706102699,0.0008167822941186243,0.011168019515548386,2.499350937144511,3.499814094441097e-06,0.00015306673175021502,-2.366541571617416e-06,0.19170025775991512,1.3463653148321867e-05,0.0002710688941231227,-0.0007771622891675539
n_1,3.2347243844094664,0.004417622384471795,0.011168019515548386,0.9889770428414808,42.40852714130682,5.855033453271831e-05,0.002805821585050098,-2.5869430922201757e-05,-31.967957548614013,-0.00012978106615566312,0.009468328320935202,0.0844162130831158
norm_2,612.6806612372595,-0.45283445917617443,2.499350937144511,42.40852714130682,20259019.9310736,-27.780373330021508,332.05998223909256,-6.5680117964815725,-93650.19627664074,-0.025692405074198323,-3.7822055374473615,-164.949544863763
temperature_2,0.0005788049854583958,-5.111049926520061e-07,3.499814094441097e-06,5.855033453271831e-05,-27.780373330021508,4.336676947948012e-05,-0.0003657637844516626,9.607958115192146e-06,-0.1387926336851829,-3.16345682492476e-07,-4.531961089988096e-06,-0.0002516183278182455
beta_s_2,0.0030625728381758273,4.666768965904494e-06,0.00015306673175021502,0.002805821585050098,332.05998223909256,-0.0003657637844516626,0.011753011809208033,0.003019896007252272,-6.632961646744175,-6.468085515392743e-05,-0.0001543531617602289,-0.01525158043077084
n_2,-0.0012480201894736185,4.204823407476262e-07,-2.366541571617416e-06,-2.5869430922201757e-05,-6.5680117964815725,9.607958115192146e-06,0.003019896007252272,0.018096875754757078,0.06321514093118527,3.418762440412201e-07,6.3853761042653115e-06,0.00019621640144235893
norm_3,-571.6549895719414,-0.15127901985472625,0.19170025775991512,-31.967957548614013,-93650.19627664074,-0.1387926336851829,-6.632961646744175,0.06321514093118527,36348.183740518,-0.3991547793630134,0.9954201806909704,12.341855598445525
temperature_3,-0.009798504887326058,-3.987007128518198e-06,1.3463653148321867e-05,-0.00012978106615566312,-0.025692405074198323,-3.16345682492476e-07,-6.468085515392743e-05,3.418762440412201e-07,-0.3991547793630134,1.2450529838841071e-05,-5.341807735989027e-06,0.0003393075116953114
beta_s_3,-0.02967933434712794,-3.827252031980819e-05,0.0002710688941231227,0.009468328320935202,-3.7822055374473615,-4.531961089988096e-06,-0.0001543531617602289,6.3853761042653115e-06,0.9954201806909704,-5.341807735989027e-06,0.0002503034106434429,0.002011245668521884
n_3,0.43972487209914063,0.0007346654341019269,-0.0007771622891675539,0.0844162130831158,-164.949544863763,-0.0002516183278182455,-0.01525158043077084,0.00019621640144235893,12.341855598445525,0.0003393075116953114,0.002011245668521884,0.07956599805019993
