,norm_1,temperature_1,U_1
norm_1,1883.407795254076,-0.20959146477946314,-4.88390466728223e-07
temperature_1,-0.20959146477946314,2.439104002819209e-05,-1.0489673518957784e-09
U_1,-4.88390466728223e-07,-1.0489673518957784e-09,1.3078222456330403e-10
