,norm_1,temperature_1,beta_s_1,n_1,norm_2,temperature_2,beta_s_2,n_2,norm_3,temperature_3,beta_s_3,n_3
norm_1,296.1297648378198,-0.07335718242721034,-0.18916853976692424,4.0830771187893555,-551.7898309049435,-0.009466307302846182,-0.03712501644357044,0.7449021112909607,-3930.1408269032536,-0.0032949363986655017,-0.3957720857947172,-1.3719792804970474
temperature_1,-0.07335718242721034,0.0003679454487888229,-0.0003098840869529727,0.005352913570298456,-0.35451795474354386,-7.267626022712351e-06,-4.106597373974161e-05,0.0007669463988625286,0.7070203449571186,-1.2776344952242225e-07,7.20719187442933e-05,-2.524275766590408e-05
beta_s_1,-0.18916853976692424,-0.0003098840869529727,0.0010740967758944432,0.01737858783235862,0.5472243973046523,2.035395294320208e-05,0.000223300274847428,-0.001365245339339461,4.540888426159353,2.2575693777295185e-06,-0.00015166085899479648,-0.0022003629586928924
n_1,4.0830771187893555,0.005352913570298456,0.01737858783235862,1.5664193197747154,-44.965333864504004,-4.439181906638601e-05,0.010031602637218334,0.06764117338819595,79.81192031909441,-3.1994640951340606e-05,-0.010714057152203119,-0.09502722873503586
norm_2,-551.7898309049435,-0.35451795474354386,0.5472243973046523,-44.965333864504004,67264.99501273612,-0.2765426471810811,0.19364995117686168,24.8153222135806,-336360.07227276446,-0.24373379521481406,-10.18984627543624,21.027142497444913
temperature_2,-0.009466307302846182,-7.267626022712351e-06,2.035395294320208e-05,-4.439181906638601e-05,-0.2765426471810811,1.6612744901904116e-05,-1.6302675126234053e-05,0.00040314586426831717,-2.3130257727915415,-1.6488515511218477e-06,-9.685418320006477e-05,0.00020844120927520734
beta_s_2,-0.03712501644357044,-4.106597373974161e-05,0.000223300274847428,0.010031602637218334,0.19364995117686168,-1.6302675126234053e-05,0.00021970019121175723,0.0006142128820697439,4.293472017621832,4.8525637839838215e-06,0.0007040303651317383,0.0035447566956009306
n_2,0.7449021112909607,0.0007669463988625286,-0.001365245339339461,0.06764117338819595,24.8153222135806,0.00040314586426831717,0.0006142128820697439,0.05887009536203518,-344.42545820867247,-0.0002100290892181806,-0.003257194917560846,0.08557268614455184
norm_3,-3930.1408269032536,0.7070203449571186,4.540888426159353,79.81192031909441,-336360.07227276446,-2.3130257727915415,4.293472017621832,-344.42545820867247,32530224.69507588,-21.55213329119548,150.32239802780785,-1599.139809090584
temperature_3,-0.0032949363986655017,-1.2776344952242225e-07,2.2575693777295185e-06,-3.1994640951340606e-05,-0.24373379521481406,-1.6488515511218477e-06,4.8525637839838215e-06,-0.0002100290892181806,-21.55213329119548,2.119541475151845e-05,6.0194268862834855e-05,0.0013770325913710084
beta_s_3,-0.3957720857947172,7.20719187442933e-05,-0.00015166085899479648,-0.010714057152203119,-10.18984627543624,-9.685418320006477e-05,0.0007040303651317383,-0.003257194917560846,150.32239802780785,6.0194268862834855e-05,0.012146845794285602,0.06966523217415632
n_3,-1.3719792804970474,-2.524275766590408e-05,-0.0022003629586928924,-0.09502722873503586,21.027142497444913,0.00020844120927520734,0.0035447566956009306,0.08557268614455184,-1599.139809090584,0.0013770325913710084,0.06966523217415632,0.9209333400903734
