,norm_1,temperature_1,beta_s_1,n_1
norm_1,569630973.5173979,-190.23626256732842,59.06938468059678,-2092.7283140269956
temperature_1,-190.23626256732842,6.359236090016671e-05,-1.9723576513766323e-05,0.0007031629138797753
beta_s_1,59.06938468059678,-1.9723576513766323e-05,6.281894178131174e-06,-0.00021314533088777628
n_1,-2092.7283140269956,0.0007031629138797753,-0.00021314533088777628,0.008185778957900314
