,norm_1,temperature_1,q_1
norm_1,362628.9683751177,-1.2063460212565789,1.2155506194265224
temperature_1,-1.2063460212565789,4.1007438310337245e-06,-4.315042018184678e-06
q_1,1.2155506194265224,-4.315042018184678e-06,5.321212328512308e-06
