pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,46.31,1.150072784653215,29.36507899365077,16.944921006349233,14.733781402764597
0.225,44.84,1.1035856332881469,33.8493464728898,10.990653527110204,9.959040055970481
0.275,41.86,1.0314245791137615,36.28868088683609,5.571319113163909,5.401576834586388
0.3249999999999999,38.79,0.9601398336179996,37.01961034112191,1.7703896588780879,1.843887314003945
0.375,35.5,0.8812691075942695,36.44182066667981,-0.9418206666798099,-1.0687094992480073
0.425,32.45,0.808930461102807,34.93402826241079,-2.4840282624107886,-3.070756241549289
0.475,29.44,0.7384921797825621,32.81921072689126,-3.3792107268912552,-4.5758246592214595
0.525,26.62,0.6731084326466278,30.355332720803737,-3.7353327208037364,-5.549377395431818
0.575,24.38,0.6187975287604177,27.73826812249075,-3.3582681224907525,-5.427087159216802
0.625,22.21,0.5713688951981898,25.109932230430104,-2.899932230430103,-5.075411445742437
0.675,20.21,0.5253670401728682,22.567998434530953,-2.357998434530952,-4.488287719296341
0.725,18.55,0.4850396688931741,20.175376801406536,-1.625376801406535,-3.3510182891134015
0.775,17.03,0.4518825233398609,17.968619886525296,-0.938619886525295,-2.0771325245950236
0.825,15.6,0.4173406068189387,15.964961259573345,-0.36496125957334513,-0.874492569403106
0.875,14.3,0.3845055427428843,14.1679770859369,0.13202291406309996,0.34335763568272565
0.925,13.13,0.3598177912499603,12.571998965489447,0.5580010345105535,1.5507877822609337
0.975,12.04,0.3352837818922949,11.165460853020713,0.874539146979286,2.6083550538696176
1.05,10.76,0.385899510365069,9.377575011496582,1.382424988503418,3.582344499985541
1.15,9.071,0.3310551133874841,7.50640030338999,1.56459969661001,4.726100378273635
1.25,7.663,0.2897888997183984,6.101034520625378,1.5619654793746225,5.3900114217365065
1.35,6.695,0.2532968466049272,5.0465628695055,1.6484371304945,6.5079259871940085
1.45,5.6,0.2227161251458906,4.250192332774715,1.349807667225285,6.060664293351418
1.55,4.859,0.1933231411393887,3.640685366553096,1.2183146334469042,6.3019596426300675
1.65,4.092,0.1737435466427458,3.165239739557432,0.9267602604425678,5.334070118576471
1.75,3.609,0.1532480668719837,2.785717878347813,0.8232821216521868,5.372218641687131
1.85,3.056,0.1450437827002591,2.4751119331601963,0.5808880668398038,4.004915316089353
1.95,2.653,0.1259473302615025,2.2145820146719513,0.43841798532804876,3.480962910589436
2.1,2.131,0.1008684836606558,1.8904036127376336,0.2405963872623662,2.3852483801757782
2.3,1.598,0.0757747555324331,1.5429778788287836,0.05502212117121652,0.7261273333658722
2.5,1.229,0.058332049689686,1.2618808611737837,-0.03288086117378364,-0.5636843098897222
2.7,0.926,0.0441367012813599,1.0297265719903932,-0.10372657199039315,-2.350120624764489
2.9,0.7271,0.0347043989862956,0.8368781095561437,-0.10977810955614375,-3.163233271940366
3.1,0.5486,0.0266267250896538,0.6769579499888838,-0.12835794998888383,-4.820643528511104
3.3,0.4349,0.0209648698779649,0.545009742785099,-0.11010974278509894,-5.252107140470719
3.5,0.3457,0.0167356970574876,0.4368091444506536,-0.0911091444506536,-5.444000577788369
3.7,0.2691,0.0131269236685523,0.3486349478054189,-0.07953494780541892,-6.058917520481812
3.9,0.222,0.0108855695303461,0.2772033823689759,-0.0552033823689759,-5.071244294116483
4.25,0.1513,0.0072583383773422,0.18408499140706916,-0.03278499140706917,-4.516872829931927
4.75,0.09103,0.0044197278196739,0.10102775970578017,-0.009997759705780165,-2.2620758819754263
5.25,0.05924,0.002995836217152,0.05464128911256823,0.004598710887431773,1.5350341454258638
5.75,0.03775,0.0019533720178194,0.02920524125339526,0.00854475874660474,4.374363238879338
6.25,0.02594,0.0013512398010715,0.01545819521732889,0.010481804782671111,7.757175872379793
6.75,0.01805,0.0009738493980077,0.00811522788050361,0.00993477211949639,10.201548760846324
7.5,0.01134,0.0005978546729766,0.0030477807610985964,0.008292219238901402,13.869958057894046
9.0,0.005377,0.0002946788421315,0.000414930406204656,0.004962069593795344,16.838906919489755
11.5,0.001723,0.0001044799129019,1.3913124672871125e-05,0.0017090868753271288,16.358042688376404
16.5,0.0003759,2.694638009083966e-05,1.3413101656927461e-08,0.00037588658689834305,13.949427924314202
