pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,46.31,1.150072784653215,28.550614756797515,17.759385243202487,15.441966352205725
0.225,44.84,1.1035856332881469,33.99193170483965,10.848068295160353,9.82983827257555
0.275,41.86,1.0314245791137615,36.70980580004616,5.150194199953837,4.9932824020725555
0.3249999999999999,38.79,0.9601398336179996,37.32233653756406,1.4676634624359366,1.5285934517532578
0.375,35.5,0.8812691075942695,36.490492401942284,-0.9904924019422836,-1.1239386396354878
0.425,32.45,0.808930461102807,34.757154211093194,-2.3071542110931915,-2.8521045034549335
0.475,29.44,0.7384921797825621,32.520721766451736,-3.0807217664517346,-4.171637629742818
0.525,26.62,0.6731084326466278,30.055036000767956,-3.435036000767955,-5.1032431539470835
0.575,24.38,0.6187975287604177,27.539261751260465,-3.159261751260466,-5.105485404230905
0.625,22.21,0.5713688951981898,25.085037042794603,-2.8750370427946024,-5.031840317099066
0.675,20.21,0.5253670401728682,22.757689709790746,-2.5476897097907454,-4.8493520053188846
0.725,18.55,0.4850396688931741,20.591703125935812,-2.041703125935811,-4.209352877456047
0.775,17.03,0.4518825233398609,18.601561156561168,-1.5715611565611667,-3.4778091105311355
0.825,15.6,0.4173406068189387,16.78916658572988,-1.1891665857298808,-2.849391040076278
0.875,14.3,0.3845055427428843,15.148823258856115,-0.8488232588561146,-2.2075709307101348
0.925,13.13,0.3598177912499603,13.670528437680364,-0.5405284376803632,-1.5022282133483105
0.975,12.04,0.3352837818922949,12.342111918954584,-0.30211191895458533,-0.9010633238789774
1.05,10.76,0.385899510365069,10.60211760493897,0.15788239506102997,0.4091282596126384
1.15,9.071,0.3310551133874841,8.687221186324276,0.38377881367572364,1.159259585960628
1.25,7.663,0.2897888997183984,7.151324032671934,0.511675967328066,1.765685186096796
1.35,6.695,0.2532968466049272,5.91694116081269,0.7780588391873104,3.0717273018438576
1.45,5.6,0.2227161251458906,4.921431681790761,0.6785683182092388,3.0467857581696944
1.55,4.859,0.1933231411393887,4.115090114199211,0.7439098858007887,3.848012614612025
1.65,4.092,0.1737435466427458,3.458830041808314,0.6331699581916856,3.6442789987107815
1.75,3.609,0.1532480668719837,2.9220246985014677,0.6869753014985323,4.48276650740658
1.85,3.056,0.1450437827002591,2.4806826418160686,0.5753173581839315,3.9665082327096792
1.95,2.653,0.1259473302615025,2.1159772694041625,0.5370227305958375,4.263867518913068
2.1,2.131,0.1008684836606558,1.6810685990557153,0.4499314009442845,4.460574647458315
2.3,1.598,0.0757747555324331,1.255311449776495,0.3426885502235051,4.522463290255389
2.5,1.229,0.058332049689686,0.9520087894449101,0.27699121055509,4.748525245188946
2.7,0.926,0.0441367012813599,0.7322451943490189,0.19375480565098113,4.389879624574683
2.9,0.7271,0.0347043989862956,0.5705031197621315,0.15659688023786844,4.512306359194029
3.1,0.5486,0.0266267250896538,0.44974025130499207,0.09885974869500791,3.7128016442931355
3.3,0.4349,0.0209648698779649,0.35837402853341055,0.07652597146658946,3.6502001639906188
3.5,0.3457,0.0167356970574876,0.2884020843326089,0.05729791566739112,3.423694601460049
3.7,0.2691,0.0131269236685523,0.2342099388119726,0.0348900611880274,2.6579008204041186
3.9,0.222,0.0108855695303461,0.1918015549239054,0.030198445076094593,2.774172264658205
4.25,0.1513,0.0072583383773422,0.13771705195828668,0.01358294804171331,1.8713577868061597
4.75,0.09103,0.0044197278196739,0.08890382913428224,0.002126170865717758,0.48106375606510376
5.25,0.05924,0.002995836217152,0.0594863139041931,-0.00024631390419310034,-0.08221874840249423
5.75,0.03775,0.0019533720178194,0.04103506963223385,-0.00328506963223385,-1.6817429564190536
6.25,0.02594,0.0013512398010715,0.029059507552750302,-0.003119507552750301,-2.3086261596769186
6.75,0.01805,0.0009738493980077,0.021053590556016147,-0.0030035905560161467,-3.084245430721515
7.5,0.01134,0.0005978546729766,0.013469384082317334,-0.002129384082317335,-3.5617085197570733
9.0,0.005377,0.0002946788421315,0.006135164721236441,-0.0007581647212364408,-2.5728508899804585
11.5,0.001723,0.0001044799129019,0.0020826040022946806,-0.00035960400229468063,-3.4418482204548346
16.5,0.0003759,2.694638009083966e-05,0.00040814880156005243,-3.224880156005246e-05,-1.1967767637559354
