success,chi2,ndf,chi2_ndf,norm,temperature_gev,beta_s,n_val,mean_beta,norm_err,temperature_err_gev,beta_s_err,n_val_err,valid,bin,n_points,mass_gev,cov_mode,estimator,status
True,110.68346908925206,43,2.574034164866327,1192.8637538329867,0.12786113466716467,0.8926838061158863,3.9999999987686357,0.2975612687663632,136.04757950333385,0.0037663843536218447,0.007846400147823673,0.047305453310783285,True,21-30,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,1100.892969600745,43,25.602162083738254,2853.503634437687,0.14740117759636936,0.9403216674855337,3.9999999980560617,0.31344055593006276,124.2553454392555,0.0017198573336807688,0.001704849154125443,0.010531647449042891,True,31-40,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,1068.1990451165564,43,24.841838258524568,3305.4711773368313,0.16065912008648733,0.9449053249288633,3.999999998310296,0.314968441731655,141.93632224817725,0.0018924601890642906,0.0016184152211323188,0.02674902491799358,True,41-50,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,997.1386027289147,43,23.189269830904994,3737.606016157627,0.16930223041396433,0.947142135916207,3.9999998024804455,0.3157140556986856,160.2722787847042,0.002023182344981597,0.001600775678999522,0.4210704433241228,True,51-60,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,1269.6861744465584,43,29.527585452245546,6187.438951718059,0.15391048477617983,0.9553734558190058,2.963848265930123,0.38493257836920947,601.6437878690604,0.004803369413679606,0.0020313061002590893,0.17286371888668794,True,61-70,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,1119.0029915623918,43,26.0233253851719,8717.193720312034,0.14526137928629268,0.9611770885514576,2.4981243789395307,0.42736794609403966,998.6165802533819,0.0053699675185428924,0.002227905973310962,0.15490190398885884,True,71-80,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,915.8773029373093,43,21.299472161332776,15189.94640001614,0.12682936476653317,0.9697181571226628,1.9155055633036282,0.4953220683484269,4647.99989361953,0.012419978233052235,0.004983783267537845,0.255355601890792,True,81-90,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,739.0532384933775,43,17.18728461612506,27638.37453788831,0.10884424949590409,0.9783848688291843,1.518586306869913,0.5561238426460782,1452.0962670651843,0.00177506738518457,0.0007096105959682464,0.038696980043757545,True,91-100,47,0.13957,diag,SPD_tracklets,substitute-baseline
False,422.1029167586843,43,9.816346901364751,48375.35366342916,0.09414787072835323,0.9833594204082782,1.2202932001768478,0.6107266384031587,12444.89122256403,0.007290374139125276,0.0024078935198175166,0.09924728577360564,False,101-125,47,0.13957,diag,SPD_tracklets,substitute-baseline
False,265.0109207977151,43,6.163044669714304,46566.68499796014,0.10203691848741267,0.9834918249269298,1.2471883853836239,0.6057497799350743,5196.670442106079,0.0035281550809736634,0.0011235099418698269,0.05303943820474977,False,126-150,47,0.13957,diag,SPD_tracklets,substitute-baseline
