bin,n_points,T_kin_pion_gev,mean_beta_pion,chi2_ndf_pion,success_pion,T_kin_kaon_gev,mean_beta_kaon,chi2_ndf_kaon,success_kaon,T_kin_proton_gev,mean_beta_proton,chi2_ndf_proton,success_proton,delta_T_kin_proton_vs_pion_gev
21-30,47,0.12602064009988545,0.3117397552331618,18.9226947728568,True,0.1131243170448834,0.3017277695221139,34.087583423287214,True,0.12336501475057748,0.2701032157162066,56.23165113939915,False,-0.0026556253493079662
31-40,47,0.14786366409646126,0.3141535927984544,28.840939001079015,True,0.10587979547363086,0.3135566676924204,53.646305477628,True,0.10217581340828755,0.28909203234879616,110.45496022873293,False,-0.045687850688173715
41-50,47,0.16063763552743424,0.31517638287865374,25.461917523310536,True,0.11225785745452485,0.3165692029597802,43.79769571501651,True,0.10615530589982215,0.2950801724596064,95.22282615631647,False,-0.05448232962761208
51-60,47,0.16938842661947992,0.31580066871226176,24.06736140820217,True,0.11681533580032964,0.3181495947274747,38.59679566066835,True,0.11631425727495989,0.2985965620333376,87.3653685997957,False,-0.05307416934452003
61-70,47,0.1544467331188726,0.3831786259886402,29.754684977824994,True,0.1172321759320401,0.31960040680301416,46.89359074112764,True,0.10478667178962285,0.30272091722352923,108.86490026181916,False,-0.04966006132924976
71-80,47,0.14566768481536746,0.4260429364572771,26.387560614165142,True,0.12050856506395331,0.3203002709588858,41.8433811671689,True,0.10167024308150473,0.30552452063897495,96.32039139732584,False,-0.04399744173386273
81-90,47,0.12816693235065574,0.4911185721249164,21.68090863415475,True,0.12244239811186781,0.3228574749747622,35.999203077042864,True,0.10326338432773714,0.30652964379714887,82.81413871679221,False,-0.024903548022918595
91-100,47,0.10736751774149833,0.5609544302725811,16.66862131812703,True,0.11453600948952808,0.3485470926155574,30.135612463070174,True,0.0872643576236953,0.3107855282623416,64.6487852248108,False,-0.020103160117803026
101-125,47,0.09699121986272055,0.6011754612519088,12.944034843634626,True,0.10913788133709036,0.36936590284005527,25.398535084757757,True,0.10571108335112946,0.3092183149080072,59.38336177007377,False,0.008719863488408905
126-150,47,0.0899016941559074,0.6372145143808042,5.327484669772059,True,0.09388581403101957,0.4123269193900107,12.120149067888514,False,0.08457152816328227,0.3134330194122381,24.741641530305397,False,-0.005330165992625133
