group_label,model_name,component_count,parameter_name,value,error
101-125,manuscript_juttner,1,norm_1,998.3438132018134,30.728514856473055
101-125,manuscript_juttner,1,temperature_1,0.5438600646189264,0.004864632830206772
101-125,manuscript_juttner,1,U_1,2.99999999910892,0.01539320657901544
126-150,manuscript_juttner,1,norm_1,1432.6821989423177,47.501703389799786
126-150,manuscript_juttner,1,temperature_1,0.5188392296155314,0.005078228058707113
126-150,manuscript_juttner,1,U_1,2.999999997836871,0.022696812822654566
21-30,manuscript_juttner,1,norm_1,82.36781184181561,6.773241307315317
21-30,manuscript_juttner,1,temperature_1,0.4575241434045234,0.007435854202618636
21-30,manuscript_juttner,1,U_1,2.9999999984712735,0.07569096853847168
31-40,manuscript_juttner,1,norm_1,283.7476330983899,11.309207400571154
31-40,manuscript_juttner,1,temperature_1,0.47389014327489415,0.004560086936312158
31-40,manuscript_juttner,1,U_1,2.99999988088509,0.02559476076482592
41-50,manuscript_juttner,1,norm_1,342.2703627678707,12.81424877266835
41-50,manuscript_juttner,1,temperature_1,0.5183109798972575,0.004864720275471801
41-50,manuscript_juttner,1,U_1,2.999999969429065,0.022453690749374422
51-60,manuscript_juttner,1,norm_1,396.184586542895,14.523518948072422
51-60,manuscript_juttner,1,temperature_1,0.5463476548062719,0.0051308789715373004
51-60,manuscript_juttner,1,U_1,2.9999999759991787,0.02110456355332424
61-70,manuscript_juttner,1,norm_1,649.8658660365741,20.84350643594547
61-70,manuscript_juttner,1,temperature_1,0.5121458671760766,0.004541523591967245
61-70,manuscript_juttner,1,U_1,2.999999999997706,0.015295550685658688
71-80,manuscript_juttner,1,norm_1,722.4074116170863,23.33533238957267
71-80,manuscript_juttner,1,temperature_1,0.5251409164169772,0.004759600119957519
71-80,manuscript_juttner,1,U_1,2.999999997203962,0.014853521631222222
81-90,manuscript_juttner,1,norm_1,793.7098883668654,25.26408564029026
81-90,manuscript_juttner,1,temperature_1,0.5353634328052483,0.00483957268332863
81-90,manuscript_juttner,1,U_1,2.9999999967791053,0.014803526870562855
91-100,manuscript_juttner,1,norm_1,880.2529106483393,27.742098270679662
91-100,manuscript_juttner,1,temperature_1,0.5403057721565351,0.004899272965532664
91-100,manuscript_juttner,1,U_1,2.999999989131163,0.014944920743973134
