rank_in_group,group_label,model_name,component_count,success,chi2_ndf,aic,bic
1,101-125,manuscript_juttner,1,True,178.0949323030566,7842.17702133449,7847.72746413962
1,126-150,manuscript_juttner,1,True,110.11935735001347,4851.251723400593,4856.802166205723
1,21-30,manuscript_juttner,1,True,68.28253950866498,3010.4317383812595,3015.98218118639
1,31-40,manuscript_juttner,1,True,165.24971811785272,7276.98759718552,7282.53803999065
1,41-50,manuscript_juttner,1,True,162.7331978573255,7166.260705722322,7171.811148527452
1,51-60,manuscript_juttner,1,True,159.92317667051267,7042.619773502558,7048.170216307688
1,61-70,manuscript_juttner,1,True,227.2186101560004,10003.618846864018,10009.169289669147
1,71-80,manuscript_juttner,1,True,220.44069330090636,9705.39050523988,9710.94094804501
1,81-90,manuscript_juttner,1,True,207.20328580256262,9122.944575312755,9128.495018117885
1,91-100,manuscript_juttner,1,True,192.8483636936189,8491.32800251923,8496.87844532436
