beta_s,T_kin_gev,chi2,delta_chi2,inside_68cl
0.1,0.3340072227721939,8655.825141379411,7488.451406976532,False
0.13541666666666669,0.33236500605830543,8518.961078917353,7351.587344514473,False
0.17083333333333334,0.329876038165937,8350.905745820268,7183.532011417388,False
0.20625,0.3263647442139382,8159.153443772587,6991.779709369707,False
0.24166666666666667,0.32170856542041715,7952.250205807528,6784.876471404648,False
0.27708333333333335,0.3158597174064874,7739.19935961705,6571.82562521417,False
0.3125,0.3088449674738777,7528.844946321839,6361.47121191896,False
0.34791666666666665,0.30075027237869995,7329.359170145534,6161.985435742655,False
0.3833333333333333,0.2917020317739344,7147.904057171381,5980.530322768502,False
0.41874999999999996,0.28184355998928357,6990.466530209264,5823.092795806385,False
0.4541666666666666,0.2713152402925168,6861.820382847507,5694.4466484446275,False
0.48958333333333337,0.2602473108398455,6765.558224632573,5598.184490229693,False
0.525,0.27192470763356186,6644.905838780115,5477.532104377236,False
0.5604166666666667,0.2736509018972449,6471.359288817674,5303.985554414794,False
0.5958333333333333,0.27376283405602375,6259.598830318648,5092.225095915768,False
0.63125,0.27306945384496556,6007.297691084688,4839.923956681809,False
0.6666666666666666,0.2717639580540555,5708.967811255891,4541.594076853012,False
0.7020833333333333,0.2698486804971889,5356.921015060516,4189.547280657636,False
0.7374999999999999,0.26718374756252217,4941.496745962915,3774.1230115600356,False
0.7729166666666666,0.2634525137112317,4451.486304472493,3284.112570069614,False
0.8083333333333332,0.258023669751057,3875.6533445173327,2708.279610114453,False
0.84375,0.2497566281523214,3207.2875487150513,2039.9138143121718,False
0.8791666666666667,0.2365360006080351,2456.9598085971193,1289.5860741942397,False
0.9145833333333333,0.21403610500079298,1691.188189057431,523.8144546545514,False
0.95,0.16933669952166197,1167.3737344028796,0.0,True
