beta_s,T_kin_gev,chi2,delta_chi2,inside_68cl
0.1,0.3253758604710916,8965.76689394629,7676.894036841715,False
0.13541666666666669,0.32379900924156735,8826.698500530123,7537.825643425549,False
0.17083333333333334,0.32138987804973196,8656.190152603349,7367.317295498775,False
0.20625,0.31797230052613884,8462.045599468032,7173.172742363458,False
0.24166666666666667,0.3134206415541831,8253.14707670165,6964.274219597077,False
0.27708333333333335,0.3076911296804391,8038.8167103123515,6749.9438532077775,False
0.3125,0.30080590629522463,7828.157289233034,6539.28443212846,False
0.34791666666666665,0.29286324271408776,7629.510319331408,6340.637462226834,False
0.3833333333333333,0.2839886096549515,7450.105135401785,6161.232278297211,False
0.41874999999999996,0.2743263362070253,7295.8948030217725,6007.0219459171985,False
0.4541666666666666,0.2640202935077851,7171.526753122836,5882.6538960182625,False
0.48958333333333337,0.2531942683427447,7080.387858471412,5791.515001366838,False
0.525,0.26713827027954123,6943.99745411571,5655.124597011136,False
0.5604166666666667,0.26850779166462563,6761.45576274232,5472.582905637746,False
0.5958333333333333,0.26856947660734437,6539.992714404257,5251.119857299683,False
0.63125,0.2679321028052662,6276.403305365023,4987.530448260449,False
0.6666666666666666,0.2667523029725312,5964.563448689378,4675.690591584804,False
0.7020833333333333,0.2650263701386095,5596.112908566179,4307.240051461605,False
0.7374999999999999,0.2626173679902896,5160.628725419386,3871.755868314812,False
0.7729166666666666,0.2591906927393701,4646.125532446551,3357.252675341977,False
0.8083333333333332,0.2541037471629165,4040.921332919164,2752.04847581459,False
0.84375,0.24616823744919444,3339.150734893954,2050.27787778938,False
0.8791666666666667,0.23321042347801604,2555.841382604997,1266.9685255004229,False
0.9145833333333333,0.2092262607663252,1772.5528702246816,483.68001312010756,False
0.95,0.16564828639371154,1288.872857104574,0.0,True
