bin,T1,T2,q1,q2,T_status,q_status
21-30,0.0689565878518265,0.1017960338099415,1.0012467406229388,1.14248436154192,DISTINCT,DISTINCT
31-40,0.1339006497665522,0.0718536503037299,1.1420774680550343,1.0036179021733973,DISTINCT,DISTINCT
41-50,0.0701913881971779,0.147602160505995,1.0106055640076577,1.143837812285407,DISTINCT,DISTINCT
51-60,0.0684639286687478,0.1571183320801465,1.0209959374345052,1.144939096542149,DISTINCT,DISTINCT
61-70,0.1220785178657217,0.0624821934190118,1.1646557479653905,1.1888936556798066,DISTINCT,COLLAPSED
71-80,0.1698636369192686,0.064099347373471,1.1472302619793886,1.044408464305787,DISTINCT,DISTINCT
81-90,0.1243343320009546,0.1834295506520634,1.17125680366396,1.242442103369032,DISTINCT,DISTINCT
91-100,0.1825670774704131,0.0611603805793304,1.1487559579274569,1.0689062742532962,DISTINCT,DISTINCT
126-150,0.2505459316200596,0.0430907050464011,1.124485326182165,1.2369443505945736,DISTINCT,DISTINCT
