beta_s,T_kin_gev,chi2,delta_chi2,inside_68cl
0.1,0.29470348399514507,6690.678578544558,5426.753012897731,False
0.13541666666666669,0.29270096683363206,6588.021866245105,5324.0963005982785,False
0.17083333333333334,0.28979669041298506,6464.999900674114,5201.074335027287,False
0.20625,0.2858644915158608,6328.909637632301,5064.984071985475,False
0.24166666666666667,0.2808392976856892,6187.502172988167,4923.576607341341,False
0.27708333333333335,0.27473678332863877,6048.276161953861,4784.350596307035,False
0.3125,0.26764250643500037,5917.879760683349,4653.954195036522,False
0.34791666666666665,0.25968243945919184,5801.72587698389,4537.800311337063,False
0.3833333333333333,0.25101277731798133,5703.838037170434,4439.912471523608,False
0.41874999999999996,0.24177658355799245,5626.877374347322,4362.951808700495,False
0.4541666666666666,0.24450144004869007,5564.894673258448,4300.969107611621,False
0.48958333333333337,0.24803153217451335,5461.702978596787,4197.77741294996,False
0.525,0.24876422703865192,5331.488200103937,4067.56263445711,False
0.5604166666666667,0.2486461679920667,5175.041995341625,3911.116429694798,False
0.5958333333333333,0.24804766645380247,4989.705652176192,3725.7800865293657,False
0.63125,0.24708732243137482,4771.226596685261,3507.3010310384343,False
0.6666666666666666,0.2457992781783947,4513.988911098804,3250.0633454519775,False
0.7020833333333333,0.24415443594109065,4210.982923572039,2947.0573579252123,False
0.7374999999999999,0.24204656540556588,3853.8498226180645,2589.924256971238,False
0.7729166666666666,0.23922169881466182,3433.477328571252,2169.551762924426,False
0.8083333333333332,0.22882679474413267,2952.3002762058445,1688.374710559018,False
0.84375,0.21384310130978984,2436.302439843025,1172.3768741961983,False
0.8791666666666667,0.19530091241133576,1907.308806202662,643.3832405558355,False
0.9145833333333333,0.17181947063684896,1430.528028565293,166.60246291846647,False
0.95,0.14006682834297274,1263.9255656468265,0.0,True
