beta_s,T_kin_gev,chi2,delta_chi2,inside_68cl
0.1,0.3398543743541836,6398.731140021119,5361.434799940295,False
0.13541666666666669,0.3373758317469366,6294.272061974744,5256.97572189392,False
0.17083333333333334,0.3338522333985849,6168.395148738195,5131.098808657371,False
0.20625,0.3291779858801056,6028.008005638085,4990.711665557261,False
0.24166666666666667,0.32330067906573823,5880.456345739877,4843.160005659053,False
0.27708333333333335,0.3162553415570604,5732.903171121094,4695.60683104027,False
0.3125,0.30812170043070125,5591.812732146632,4554.516392065808,False
0.34791666666666665,0.2990445735051818,5462.620011767565,4425.323671686741,False
0.3833333333333333,0.28917087863491925,5349.596054240288,4312.299714159464,False
0.41874999999999996,0.278658815364511,5255.863908657175,4218.567568576351,False
0.4541666666666666,0.26765032376103653,5183.501048959984,4146.20470887916,False
0.48958333333333337,0.2764556354193033,5108.809743380938,4071.513403300114,False
0.525,0.27865855719986715,4992.47761192412,3955.1812718432957,False
0.5604166666666667,0.27886495544069284,4849.687748875406,3812.3914087945823,False
0.5958333333333333,0.27824333699821663,4679.669319593424,3642.3729795126,False
0.63125,0.27709453668667466,4479.168235217298,3441.8718951364744,False
0.6666666666666666,0.27550308218427705,4243.442696569356,3206.1463564885316,False
0.7020833333333333,0.2734276063763266,3966.4622237032672,2929.1658836224433,False
0.7374999999999999,0.27068999318780357,3641.112250038464,2603.81590995764,False
0.7729166666666666,0.26691121821404945,3259.8898430623967,2222.593502981573,False
0.8083333333333332,0.2613847498658454,2816.952526588552,1779.6561865077279,False
0.84375,0.24858772577615626,2316.7531918706345,1279.4568517898106,False
0.8791666666666667,0.22816469006867587,1791.9436052296646,754.6472651488407,False
0.9145833333333333,0.2019897078481535,1295.1474692776087,257.85112919678477,False
0.95,0.16485384142803536,1037.296340080824,0.0,True
