beta_s,T_kin_gev,chi2,delta_chi2,inside_68cl
0.1,0.32234176291715816,6541.0584989839035,5437.641669537155,False
0.13541666666666669,0.320059617479953,6436.233654685298,5332.816825238549,False
0.17083333333333334,0.316781142257133,6310.1953785281285,5206.77854908138,False
0.20625,0.31239230212523933,6170.08045632052,5066.663626873772,False
0.24166666666666667,0.3068309485602798,6023.467379824004,4920.050550377256,False
0.27708333333333335,0.3001329079458764,5877.713966090879,4774.297136644131,False
0.3125,0.29238399523483904,5739.407464481602,4635.990635034854,False
0.34791666666666665,0.28372018883564076,5614.016080732819,4510.599251286071,False
0.3833333333333333,0.27429684416440525,5505.75133654647,4402.334507099722,False
0.41874999999999996,0.2642679425093978,5417.591369658783,4314.174540212035,False
0.4541666666666666,0.2537724159747228,5351.396798460495,4247.979969013747,False
0.48958333333333337,0.26579538682224546,5264.793817048166,4161.376987601418,False
0.525,0.26719227859018674,5141.888759533778,4038.47193008703,False
0.5604166666666667,0.2672013356217806,4992.71194292852,3889.295113481772,False
0.5958333333333333,0.26655975807179805,4815.588292677044,3712.1714632302956,False
0.63125,0.26547645495985406,4606.812885394369,3503.396055947621,False
0.6666666666666666,0.2640132296191318,4361.2401048422,3257.8232753954517,False
0.7020833333333333,0.2621340691423438,4072.377932348133,2968.961102901385,False
0.7374999999999999,0.25968519802173134,3732.542359763975,2629.125530317227,False
0.7729166666666666,0.2563207832169158,3333.573904367894,2230.157074921146,False
0.8083333333333332,0.25065238925786054,2869.2419508826056,1765.8251214358575,False
0.84375,0.23478367757956087,2356.98306450283,1253.566235056082,False
0.8791666666666667,0.21501698522345544,1825.413785987202,721.9969565404538,False
0.9145833333333333,0.18980647542948492,1330.3814899262893,226.96466047954118,False
0.95,0.15555311622821877,1103.4168294467481,0.0,True
