rank_in_group,group_label,model_name,component_count,success,chi2_ndf,aic,bic
1,101-125,blast_wave,2,True,1.2043420167182102,62.969338652010194,77.77051946569065
2,101-125,tsallis,2,True,1.371707631065119,68.24001287366988,79.34089848393023
3,101-125,blast_wave,1,True,12.944035520701624,564.5935273901698,571.9941177970101
4,101-125,tsallis,1,True,19.243598654558085,852.7183408005558,858.2687836056859
5,101-125,exact_bose_einstein,2,True,33.088309599918944,1368.6206935966766,1379.721579206937
6,101-125,exact_bose_einstein,1,True,144.3916649311105,6359.233256968862,6364.783699773992
1,126-150,tsallis,2,True,0.8745213990018639,47.85537735907642,58.95626296933677
2,126-150,blast_wave,1,True,5.3274847966513414,237.08184625600768,244.4824366628479
3,126-150,tsallis,1,True,12.307037897442195,547.5096674874566,553.0601102925867
4,126-150,exact_bose_einstein,2,True,15.622083446204035,652.5054212943654,663.6063069046257
5,126-150,exact_bose_einstein,1,True,85.57305900386017,3771.214596169847,3776.7650389749774
1,21-30,tsallis,2,True,0.36157204698649054,26.82445392644611,37.92533953670646
2,21-30,tsallis,1,True,0.5894500482938848,31.93580212493093,37.486244930061105
3,21-30,exact_bose_einstein,2,True,16.478293401793298,687.6100294735252,698.7109150837855
4,21-30,blast_wave,1,True,18.922695039893995,821.6758867154418,829.0764771222821
5,21-30,exact_bose_einstein,1,True,63.73970060329996,2810.546826545198,2816.0972693503286
1,31-40,tsallis,2,True,1.0254751756432325,54.04448220137254,65.1453678116329
2,31-40,tsallis,1,True,6.567127597511267,294.95361429049575,300.5040570956259
3,31-40,blast_wave,1,True,28.84093908317671,1248.1603805765985,1255.5609709834387
4,31-40,exact_bose_einstein,1,True,147.42255692146395,6492.592504544414,6498.142947349544
1,41-50,tsallis,2,True,1.3377004247247768,66.84571741371585,77.9466030239762
2,41-50,tsallis,1,True,9.110314932827466,406.85385704440847,412.40429984953863
3,41-50,blast_wave,1,True,25.46191834556447,1102.8624888592722,1110.2630792661123
4,41-50,exact_bose_einstein,2,True,40.768748681805334,1683.5186959540188,1694.619581564279
5,41-50,exact_bose_einstein,1,True,142.69050617501387,6284.38227170061,6289.93271450574
1,51-60,tsallis,2,True,1.428741373328548,70.57839630647047,81.67928191673082
2,51-60,tsallis,1,True,10.627257310811238,473.5993216756945,479.1497644808247
3,51-60,blast_wave,1,True,24.067361703284863,1042.8965532412492,1050.2971436480893
4,51-60,exact_bose_einstein,1,True,138.7087888301788,6109.186708527867,6114.737151332997
1,61-70,tsallis,2,True,2.187118911099563,101.67187535508208,112.77276096534243
2,61-70,tsallis,1,True,18.417977109751973,816.3909928290868,821.941435634217
3,61-70,blast_wave,1,True,29.75468701409136,1287.4515416059285,1294.8521320127686
4,61-70,exact_bose_einstein,2,True,54.08394850468304,2229.441888692005,2240.542774302265
5,61-70,exact_bose_einstein,1,True,193.53164625373213,8521.392435164214,8526.942877969344
1,71-80,tsallis,2,True,2.0480927294014166,95.97180190545808,107.07268751571843
2,71-80,tsallis,1,True,19.1862951707086,850.1969875111783,855.7474303163085
3,71-80,blast_wave,1,True,26.38756047190193,1142.6651002917831,1150.0656906986233
4,71-80,exact_bose_einstein,2,True,50.515180572533055,2083.1224034738552,2094.2232890841155
5,71-80,exact_bose_einstein,1,True,185.9687614726383,8188.625504796085,8194.175947601216
1,81-90,tsallis,2,True,1.7992607144398565,85.76968929203412,96.87057490229446
2,81-90,tsallis,1,True,19.352933940930665,857.5290934009493,863.0795362060794
3,81-90,blast_wave,1,True,21.68090986091569,940.2791240193746,947.6797144262149
4,81-90,exact_bose_einstein,1,True,172.5544140927035,7598.394220078954,7603.944662884084
1,91-100,tsallis,2,True,1.6107430904832398,78.04046670981283,89.14135232007318
2,91-100,blast_wave,1,True,16.668621843232433,724.7507392589946,732.1513296658349
3,91-100,tsallis,1,True,19.61444389594122,869.0355314214138,874.585974226544
4,91-100,exact_bose_einstein,2,True,38.688054224043015,1598.2102231857637,1609.311108796024
5,91-100,exact_bose_einstein,1,True,158.3422131026623,6973.057376517141,6978.607819322271
