group_label,model_name,component_count,success,chi2,ndf,chi2_ndf,fit_quality_flag,gate_passed,gate_failures,aic,bic,edm,has_accurate_covar,seed_index
101-125,blast_wave,1,False,54.07845866083283,35,1.545098818880938,ok,False,failed,62.07845866083283,68.73270524535141,0.23653046776467954,True,10
101-125,tsallis,1,True,514.4305294587094,36,14.289736929408596,poor,False,failed,520.4305294587094,525.4212143970983,7.631924923981155e-07,True,7
101-125,manuscript_juttner,1,True,5695.155847712215,36,158.19877354756153,poor,False,failed,5701.155847712215,5706.146532650604,2.683313965322793e-06,True,4
101-125,blast_wave,2,True,17.688052631168844,31,0.5705823429409305,poor,True,,33.688052631168844,46.996545800206015,0.000103987076600744,False,17
101-125,tsallis,2,False,4.865218806342172,33,0.14743087291945978,ok,False,failed,16.86521880634217,26.846588683120046,0.17543518868285815,True,3
101-125,manuscript_juttner,2,False,446.86736462595815,33,13.541435291695702,poor,False,failed,458.86736462595815,468.848734502736,1.0264823716724096,True,3
101-125,blast_wave,3,False,2.2331026848982622,27,0.08270750684808378,poor,False,failed,26.233102684898263,46.195842438454015,0.034559068134066596,False,9
101-125,tsallis,3,False,16.337669165891413,30,0.5445889721963805,poor,False,failed,34.33766916589141,49.30972398105823,0.5718475812030699,False,4
101-125,manuscript_juttner,3,False,24.00424132054636,30,0.8001413773515453,ok,False,failed,42.004241320546356,56.97629613571317,0.18544129692946185,False,6
126-150,blast_wave,1,True,55.234726274332566,35,1.578135036409502,ok,True,,63.234726274332566,69.88897285885115,3.801924536380122e-05,True,13
126-150,tsallis,1,True,372.29331457327936,36,10.341480960368871,poor,False,failed,378.29331457327936,383.2839995116683,4.724395699564971e-07,True,1
126-150,manuscript_juttner,1,True,3939.1659047952426,36,109.42127513320118,poor,False,failed,3945.1659047952426,3950.1565897336313,1.5053288252449692e-06,True,6
126-150,blast_wave,2,False,16.71583226476202,31,0.5392203956374846,ok,False,failed,32.71583226476202,46.02432543379919,1.949844625533166,True,16
126-150,tsallis,2,True,372.2933251765765,33,11.281615914441712,poor,False,failed,384.2933251765765,394.2746950533544,1.0757251435137553e-05,True,4
126-150,manuscript_juttner,2,False,285.4481832291533,33,8.649944946337978,poor,False,failed,297.4481832291533,307.4295531059312,0.05485352046353099,False,3
126-150,blast_wave,3,False,10.111695121729504,27,0.37450722673072234,poor,False,failed,34.111695121729504,54.074434875285256,0.012672693031424133,True,7
126-150,tsallis,3,False,16.942129261833756,30,0.5647376420611252,poor,False,failed,34.942129261833756,49.91418407700057,0.8783401568967426,False,1
126-150,manuscript_juttner,3,False,64.36708473929669,30,2.1455694913098897,ok,False,failed,82.36708473929669,97.3391395544635,15.064145441871023,False,8
21-30,blast_wave,1,True,67.61020171963335,35,1.9317200491323814,ok,True,,75.61020171963335,82.26444830415194,2.6642793214876366e-08,True,19
21-30,tsallis,1,True,11.959841513621457,36,0.3322178198228183,ok,True,,17.959841513621456,22.950526452010394,2.3762561725174325e-07,True,3
21-30,manuscript_juttner,1,True,1803.5035617703234,36,50.09732116028676,poor,False,failed,1809.5035617703234,1814.4942467087124,5.147210604165423e-07,True,2
21-30,blast_wave,2,True,0.36311437358494764,31,0.011713366889837021,ok,False,failed,16.36311437358495,29.67160754262212,0.00011129198153811594,False,8
21-30,tsallis,2,False,0.5620648798661366,33,0.017032269086852625,poor,False,failed,12.562064879866137,22.54343475664401,0.49449911835635585,True,4
21-30,manuscript_juttner,2,False,116.40690843184046,33,3.527482073692135,ok,False,failed,128.40690843184046,138.38827830861834,0.31158894648195223,True,5
21-30,blast_wave,3,True,0.25697781185118984,27,0.009517696735229253,poor,False,failed,24.25697781185119,44.21971756540694,0.0002810760971319136,False,15
21-30,tsallis,3,True,0.3077392816622059,30,0.010257976055406863,ok,False,failed,18.307739281662204,33.27979409682902,0.00025091814068978327,False,1
21-30,manuscript_juttner,3,False,3.5560517934438183,30,0.1185350597814606,ok,False,failed,21.556051793443817,36.528106608610635,0.007682653261570804,True,1
31-40,blast_wave,1,True,71.92780135608277,35,2.055080038745222,ok,True,,79.92780135608277,86.58204794060136,8.045524927705896e-07,True,11
31-40,tsallis,1,True,183.07469230665936,36,5.0854081196294265,poor,False,failed,189.07469230665936,194.0653772450483,2.920244610230627e-07,True,2
31-40,manuscript_juttner,1,True,4486.703098613074,36,124.63064162814095,poor,False,failed,4492.703098613074,4497.693783551463,8.747240312884217e-06,True,1
31-40,blast_wave,2,True,0.42114325585529877,31,0.013585266317912863,ok,False,failed,16.4211432558553,29.72963642489247,0.001365860130394196,False,8
31-40,tsallis,2,True,183.07471825523677,33,5.547718735007175,poor,False,failed,195.07471825523677,205.05608813201465,1.5736689800812393e-05,True,1
31-40,manuscript_juttner,2,False,342.84147728791555,33,10.38913567539138,poor,False,failed,354.84147728791555,364.8228471646934,0.767388907342887,True,1
31-40,blast_wave,3,True,0.35879154317686834,27,0.013288575673217347,ok,False,failed,24.358791543176867,44.32153129673262,3.05398012319504e-05,False,15
31-40,tsallis,3,False,0.9433943935510546,30,0.031446479785035154,poor,False,failed,18.943394393551056,33.91544920871787,0.010409557405030084,False,8
31-40,manuscript_juttner,3,False,39.78139507717823,30,1.3260465025726078,poor,False,failed,57.78139507717823,72.75344989234505,87.85541900446864,False,6
41-50,blast_wave,1,True,53.4053288255584,35,1.5258665378730971,ok,True,,61.4053288255584,68.05957541007699,2.834149752451237e-06,True,24
41-50,tsallis,1,True,257.9286834102621,36,7.164685650285059,poor,False,failed,263.9286834102621,268.91936834865106,4.987286835192589e-07,True,7
41-50,manuscript_juttner,1,True,4349.340089585706,36,120.81500248849183,poor,False,failed,4355.340089585706,4360.3307745240945,3.495401284163106e-06,True,7
41-50,blast_wave,2,False,0.6771321004930739,31,0.021842970983647545,ok,False,failed,16.677132100493075,29.985625269530246,0.013812301606031512,False,11
41-50,tsallis,2,True,257.9286841777276,33,7.816020732658411,poor,False,failed,269.9286841777276,279.91005405450545,2.1843226148816098e-06,False,3
41-50,manuscript_juttner,2,False,338.9054375430575,33,10.269861743729015,poor,False,failed,350.9054375430575,360.88680741983535,0.05385415308218247,True,2
41-50,blast_wave,3,True,0.45189399974930794,27,0.016736814805529923,poor,False,failed,24.45189399974931,44.41463375330506,0.0004998994760550887,False,9
41-50,tsallis,3,False,1.2208915603474404,30,0.04069638534491468,poor,False,failed,19.22089156034744,34.19294637551425,0.002609114655043638,False,2
41-50,manuscript_juttner,3,False,15.601185297185149,30,0.5200395099061716,poor,False,failed,33.60118529718515,48.57324011235196,0.7729944468898908,True,4
51-60,blast_wave,1,True,39.085226518846724,35,1.116720757681335,poor,True,,47.085226518846724,53.73947310336531,0.0008935653781015494,True,1
51-60,tsallis,1,True,293.83573118830594,36,8.16210364411961,poor,False,failed,299.83573118830594,304.8264161266949,3.489365444213653e-07,True,8
51-60,manuscript_juttner,1,True,4239.384511982057,36,117.76068088839048,poor,False,failed,4245.384511982057,4250.375196920446,8.51729712329333e-06,True,5
51-60,blast_wave,2,False,4.062763340211995,31,0.13105688194232243,ok,False,failed,20.062763340211994,33.371256509249164,0.5972964365403569,False,9
51-60,tsallis,2,True,293.8357366275394,33,8.904113231137558,poor,False,failed,305.8357366275394,315.8171065043173,5.13887908249823e-06,True,1
51-60,manuscript_juttner,2,False,329.02455039672276,33,9.97044092111281,poor,False,failed,341.02455039672276,351.00592027350064,0.2357382430875338,True,3
51-60,blast_wave,3,True,0.39152036008374075,27,0.014500754077175583,ok,False,failed,24.391520360083742,44.35426011363949,0.00010372914470234991,False,7
51-60,tsallis,3,False,6.46722879375836,30,0.21557429312527868,poor,False,failed,24.46722879375836,39.43928360892517,50.80688793824804,True,2
51-60,manuscript_juttner,3,False,14.667532317865993,30,0.48891774392886644,ok,False,failed,32.66753231786599,47.639587133032805,0.1103114377882505,True,3
61-70,blast_wave,1,True,44.10464102212534,35,1.2601326006321527,ok,True,,52.10464102212534,58.758887606643924,3.87964313303834e-05,True,6
61-70,tsallis,1,True,503.28424952576063,36,13.980118042382239,poor,False,failed,509.28424952576063,514.2749344641495,1.3084766441614587e-08,True,1
61-70,manuscript_juttner,1,True,6366.091194022971,36,176.83586650063808,poor,False,failed,6372.091194022971,6377.0818789613595,7.319283821593802e-07,True,1
61-70,blast_wave,2,False,4.54445524085222,31,0.1465953303500716,ok,False,failed,20.54445524085222,33.85294840988939,1.896545137177443,True,1
61-70,tsallis,2,True,503.2842554945724,33,15.251038045290073,poor,False,failed,515.2842554945723,525.2656253713503,1.2250719035269996e-05,False,9
61-70,manuscript_juttner,2,False,495.36405506231085,33,15.011031971585178,poor,False,failed,507.36405506231085,517.3454249390887,4.501442936760677,True,1
61-70,blast_wave,3,True,0.6702247949117149,27,0.02482314055228574,ok,False,failed,24.670224794911714,44.63296454846747,0.0001440491462382031,False,8
61-70,tsallis,3,False,10.664811940286528,30,0.35549373134288426,poor,False,failed,28.664811940286526,43.63686675545334,0.5421639683422439,False,9
61-70,manuscript_juttner,3,False,29.839399759310822,30,0.9946466586436941,poor,False,failed,47.83939975931082,62.81145457447764,0.08286867049445798,True,6
71-80,blast_wave,1,True,40.53941032476863,35,1.158268866421961,ok,True,,48.53941032476863,55.19365690928721,0.0001504285212973591,True,22
71-80,tsallis,1,True,523.6342199459921,36,14.54539499849978,poor,False,failed,529.6342199459921,534.6249048843811,8.27037925258783e-08,True,9
71-80,manuscript_juttner,1,True,6274.763684104745,36,174.2989912251318,poor,False,failed,6280.763684104745,6285.754369043134,2.018473066751121e-06,True,4
71-80,blast_wave,2,True,67.17466559962182,31,2.166924696761994,poor,True,,83.17466559962182,96.483158768659,1.876655886003368e-05,True,16
71-80,tsallis,2,True,523.6342201888793,33,15.867703642087253,poor,False,failed,535.6342201888793,545.6155900656572,2.055740657518859e-07,True,9
71-80,manuscript_juttner,2,False,479.3830614358415,33,14.526759437449742,poor,False,failed,491.3830614358415,501.3644313126194,0.09984698422010312,False,1
71-80,blast_wave,3,True,0.7253471105346012,27,0.02686470779757782,poor,False,failed,24.7253471105346,44.68808686409035,0.0002932515269377015,False,8
71-80,tsallis,3,False,15.367084584083358,30,0.5122361528027786,poor,False,failed,33.36708458408336,48.33913939925017,1.2179467888932984,False,1
71-80,manuscript_juttner,3,False,22.253643920355334,30,0.7417881306785111,ok,False,failed,40.25364392035533,55.225698735522144,0.8847737922739641,True,2
81-90,blast_wave,1,True,44.04411750544072,35,1.2584033572983062,ok,True,,52.04411750544072,58.6983640899593,9.677624720264754e-05,True,1
81-90,tsallis,1,True,544.6621554641125,36,15.12950431844757,poor,False,failed,550.6621554641125,555.6528404025014,1.4912186048767435e-07,True,9
81-90,manuscript_juttner,1,True,6112.89368300016,36,169.80260230556001,poor,False,failed,6118.89368300016,6123.884367938549,2.169144878821176e-06,True,8
81-90,blast_wave,2,True,21.915043943946415,31,0.7069369014176263,poor,True,,37.915043943946415,51.223537112983585,1.0819800070110964e-05,True,16
81-90,tsallis,2,False,5.1062906160187245,33,0.1547360792732947,ok,False,failed,17.106290616018725,27.0876604927966,1.1100096696116573,True,1
81-90,manuscript_juttner,2,False,470.99145356951294,33,14.272468289985241,poor,False,failed,482.99145356951294,492.9728234462908,0.24303557526536596,False,2
81-90,blast_wave,3,False,1.3939507592308602,27,0.05162780589743927,poor,False,failed,25.39395075923086,45.356690512786614,0.05659466493658251,True,8
81-90,tsallis,3,False,23.03866975901305,30,0.7679556586337684,ok,False,failed,41.03866975901305,56.01072457417986,1.4265962886307355,False,1
81-90,manuscript_juttner,3,False,21.992613023084587,30,0.7330871007694862,ok,False,failed,39.99261302308459,54.9646678382514,0.008761625111785118,False,3
91-100,blast_wave,1,False,46.435847666663015,35,1.3267385047618003,ok,False,failed,54.435847666663015,61.0900942511816,0.18267417236255307,True,16
91-100,tsallis,1,True,537.8478121893768,36,14.940217005260466,poor,False,failed,543.8478121893768,548.8384971277658,7.647308794082898e-08,True,3
91-100,manuscript_juttner,1,True,5973.536960633421,36,165.93158223981723,poor,False,failed,5979.536960633421,5984.527645571809,4.627005955933202e-06,True,3
91-100,blast_wave,2,True,53.63587344161211,31,1.7301894658584553,poor,True,,69.63587344161212,82.94436661064928,0.00013607741625858594,True,4
91-100,tsallis,2,False,15.517175274955786,33,0.4702174325744178,ok,False,failed,27.517175274955786,37.498545151733666,2.8017798378911083,True,1
91-100,manuscript_juttner,2,False,447.2762310972555,33,13.553825184765318,poor,False,failed,459.2762310972555,469.2576009740334,0.11892160190949241,False,9
91-100,blast_wave,3,False,1.7696598262583774,27,0.06554295652808804,ok,False,failed,25.769659826258376,45.73239957981413,0.00632327087791959,False,14
91-100,tsallis,3,False,8.153947325343633,30,0.2717982441781211,ok,False,failed,26.153947325343633,41.12600214051045,2.3635505017550247,False,2
91-100,manuscript_juttner,3,False,25.770855223528308,30,0.8590285074509436,ok,False,failed,43.77085522352831,58.74291003869512,1.5467465174686277,True,6
