rank_in_group,group_label,model_name,component_count,success,chi2_ndf,aic,bic
1,101-125,blast_wave,2,True,0.5705823429409305,33.688052631168844,46.996545800206015
2,101-125,tsallis,1,True,14.289736929408596,520.4305294587094,525.4212143970983
3,101-125,manuscript_juttner,1,True,158.19877354756153,5701.155847712215,5706.146532650604
1,126-150,blast_wave,1,True,1.578135036409502,63.234726274332566,69.88897285885115
2,126-150,tsallis,1,True,10.341480960368871,378.29331457327936,383.2839995116683
3,126-150,tsallis,2,True,11.281615914441712,384.2933251765765,394.2746950533544
4,126-150,manuscript_juttner,1,True,109.42127513320118,3945.1659047952426,3950.1565897336313
1,21-30,blast_wave,2,True,0.011713366889837021,16.36311437358495,29.67160754262212
2,21-30,tsallis,1,True,0.3322178198228183,17.959841513621456,22.950526452010394
3,21-30,tsallis,3,True,0.010257976055406863,18.307739281662204,33.27979409682902
4,21-30,blast_wave,3,True,0.009517696735229253,24.25697781185119,44.21971756540694
5,21-30,blast_wave,1,True,1.9317200491323814,75.61020171963335,82.26444830415194
6,21-30,manuscript_juttner,1,True,50.09732116028676,1809.5035617703234,1814.4942467087124
1,31-40,blast_wave,2,True,0.013585266317912863,16.4211432558553,29.72963642489247
2,31-40,blast_wave,3,True,0.013288575673217347,24.358791543176867,44.32153129673262
3,31-40,blast_wave,1,True,2.055080038745222,79.92780135608277,86.58204794060136
4,31-40,tsallis,1,True,5.0854081196294265,189.07469230665936,194.0653772450483
5,31-40,tsallis,2,True,5.547718735007175,195.07471825523677,205.05608813201465
6,31-40,manuscript_juttner,1,True,124.63064162814095,4492.703098613074,4497.693783551463
1,41-50,blast_wave,3,True,0.016736814805529923,24.45189399974931,44.41463375330506
2,41-50,blast_wave,1,True,1.5258665378730971,61.4053288255584,68.05957541007699
3,41-50,tsallis,1,True,7.164685650285059,263.9286834102621,268.91936834865106
4,41-50,tsallis,2,True,7.816020732658411,269.9286841777276,279.91005405450545
5,41-50,manuscript_juttner,1,True,120.81500248849183,4355.340089585706,4360.3307745240945
1,51-60,blast_wave,3,True,0.014500754077175583,24.391520360083742,44.35426011363949
2,51-60,blast_wave,1,True,1.116720757681335,47.085226518846724,53.73947310336531
3,51-60,tsallis,1,True,8.16210364411961,299.83573118830594,304.8264161266949
4,51-60,tsallis,2,True,8.904113231137558,305.8357366275394,315.8171065043173
5,51-60,manuscript_juttner,1,True,117.76068088839048,4245.384511982057,4250.375196920446
1,61-70,blast_wave,3,True,0.02482314055228574,24.670224794911714,44.63296454846747
2,61-70,blast_wave,1,True,1.2601326006321527,52.10464102212534,58.758887606643924
3,61-70,tsallis,1,True,13.980118042382239,509.28424952576063,514.2749344641495
4,61-70,tsallis,2,True,15.251038045290073,515.2842554945723,525.2656253713503
5,61-70,manuscript_juttner,1,True,176.83586650063808,6372.091194022971,6377.0818789613595
1,71-80,blast_wave,3,True,0.02686470779757782,24.7253471105346,44.68808686409035
2,71-80,blast_wave,1,True,1.158268866421961,48.53941032476863,55.19365690928721
3,71-80,blast_wave,2,True,2.166924696761994,83.17466559962182,96.483158768659
4,71-80,tsallis,1,True,14.54539499849978,529.6342199459921,534.6249048843811
5,71-80,tsallis,2,True,15.867703642087253,535.6342201888793,545.6155900656572
6,71-80,manuscript_juttner,1,True,174.2989912251318,6280.763684104745,6285.754369043134
1,81-90,blast_wave,2,True,0.7069369014176263,37.915043943946415,51.223537112983585
2,81-90,blast_wave,1,True,1.2584033572983062,52.04411750544072,58.6983640899593
3,81-90,tsallis,1,True,15.12950431844757,550.6621554641125,555.6528404025014
4,81-90,manuscript_juttner,1,True,169.80260230556001,6118.89368300016,6123.884367938549
1,91-100,blast_wave,2,True,1.7301894658584553,69.63587344161212,82.94436661064928
2,91-100,tsallis,1,True,14.940217005260466,543.8478121893768,548.8384971277658
3,91-100,manuscript_juttner,1,True,165.93158223981723,5979.536960633421,5984.527645571809
