pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,51.84,1.2904387819652663,32.018815453599196,19.821184546400808,15.360034759815765
0.225,49.92,1.230351774900171,38.115560420894724,11.804439579105278,9.594361401285477
0.275,46.93,1.159885959911577,41.1703789503908,5.759621049609201,4.965678737975483
0.3249999999999999,43.44,1.077646161780387,41.877539607421326,1.5624603925786715,1.4498825755545952
0.375,39.71,0.988743940562975,40.97512898699165,-1.2651289869916482,-1.279531469261196
0.425,36.45,0.9116366491097206,39.06748751668145,-2.61748751668145,-2.871196017884556
0.475,33.05,0.8318144624854753,36.59729080160923,-3.547290801609236,-4.264521671106647
0.525,30.23,0.7659622053339186,33.86853450106292,-3.6385345010629173,-4.750279420740754
0.575,27.49,0.7028726282905032,31.080117666865007,-3.5901176668650088,-5.107778454251006
0.625,25.05,0.6452223143227457,28.356119209289457,-3.306119209289456,-5.124000109574181
0.675,22.87,0.5951105501501381,25.769358122184652,-2.899358122184651,-4.871965589339969
0.725,21.0,0.5527723011331158,23.358520862804053,-2.3585208628040526,-4.26671318003701
0.775,19.3,0.5133333906926374,21.140150228652384,-1.8401502286523836,-3.584707837083189
0.825,17.75,0.4762950698884043,19.11683771740205,-1.3668377174020492,-2.8697288798775484
0.875,16.46,0.447518186110911,17.282723201763492,-0.8227232017634911,-1.8384128897939154
0.925,15.05,0.4178356883991601,15.627130092865178,-0.5771300928651772,-1.3812369524401242
0.975,13.74,0.3849028599530016,14.136929346207653,-0.39692934620765286,-1.0312455102467146
1.05,12.28,0.4416268805224609,12.180931153167114,0.09906884683288553,0.2243270308086397
1.15,10.51,0.385890674284829,10.02184761618571,0.48815238381429005,1.2650017643442217
1.25,8.982,0.3406110815871967,8.283965527850215,0.698034472149784,2.0493592542469483
1.35,7.757,0.2945326000632188,6.882238734719356,0.874761265280644,2.969998109183446
1.45,6.568,0.26259980883466,5.747685172505084,0.8203148274949159,3.123821114475405
1.55,5.79,0.2318178327911811,4.825395434356237,0.9646045656437634,4.161045567674979
1.65,4.857,0.2072935071342081,4.072058422287621,0.7849415777123792,3.7866192171864994
1.75,4.239,0.1812074877040129,3.45363411444093,0.7853658855590697,4.334069720352276
1.85,3.651,0.1744088633068858,2.943376936726613,0.7076230632733869,4.057265495895526
1.95,3.188,0.1526150464403821,2.5202361076607263,0.6677638923392739,4.375478748094021
2.1,2.57,0.122245010123113,2.0134805071253634,0.5565194928746364,4.552492509217067
2.3,1.95,0.0930040310954315,1.514461433638029,0.43553856636197086,4.683007405507665
2.5,1.468,0.0704131642521481,1.1565957917252725,0.3114042082747275,4.42252825280789
2.7,1.16,0.055623529194038,0.8956187043075531,0.26438129569244684,4.7530478472549795
2.9,0.8921,0.0434828612329041,0.7023389838862507,0.1897610161137493,4.3640416185435935
3.1,0.7005,0.0340135608397591,0.5571517446685665,0.14334825533143347,4.214444233191573
3.3,0.5415,0.0265055942208432,0.44665998915584276,0.09484001084415722,3.578112984525278
3.5,0.434,0.021436128964904,0.36155839875393425,0.07244160124606575,3.379416188653732
3.7,0.3436,0.0173681622804486,0.2952843951331447,0.04831560486685532,2.781848999720849
3.9,0.2719,0.0139301839542771,0.2431434775736042,0.028756522426395786,2.064331850949207
4.25,0.195,0.0095569326669177,0.17618790910351959,0.01881209089648042,1.9684235049180996
4.75,0.1186,0.0059543924123289,0.11514184057109947,0.0034581594289005285,0.5807745256661649
5.25,0.07719,0.0041428860713275,0.07792578783592712,-0.0007357878359271208,-0.17760272024360865
5.75,0.05113,0.0028528240394388,0.05433053795637566,-0.0032005379563756556,-1.1218841092650274
6.25,0.03271,0.0018976303644282,0.038860978180634644,-0.006150978180634641,-3.2413995348815323
6.75,0.02497,0.0015160019656979,0.028420575314046587,-0.003450575314046588,-2.276102137148679
7.5,0.01531,0.0008973765151818,0.018422839495823306,-0.003112839495823305,-3.4688221088476707
9.0,0.006925,0.0004295055878565,0.008589934107595145,-0.0016649341075951453,-3.876396849466387
11.5,0.002314,0.0001593894601283,0.0030124879856492414,-0.0006984879856492413,-4.382272109379101
16.5,0.0005998,4.952856246652026e-05,0.0006206350160105224,-2.0835016010522307e-05,-0.4206666814649853
