group_label,model_name,success,chi2_ndf,aic,bic
101-125,juttner_1c,True,178.094933383108,7842.177068856752,7847.727511661882
101-125,bose_1c,True,153.2859274721745,6750.580808775679,6756.131251580809
101-125,tsallis_1c,True,19.243597074621743,852.7182712833567,858.2687140884868
101-125,bgbw,True,12.94403481237394,564.5934969320795,571.9940873389197
101-125,bose_2c,True,37.356838951683365,1543.630397019018,1554.7312826292782
101-125,tsallis_2c,True,1.3717069898658403,68.23998658449945,79.3408721947598
126-150,juttner_1c,True,110.11935747693902,4851.251728985317,4856.802171790447
126-150,bose_1c,True,92.5513286959217,4078.258462620555,4083.808905425685
126-150,tsallis_1c,True,12.307037894067093,547.5096673389521,553.0601101440823
126-150,bgbw,True,5.327485161769373,237.08186195608306,244.48245236292328
126-150,juttner_2c,True,19.989378091356087,831.5645017455996,842.6653873558599
126-150,bose_2c,True,17.780903697409723,741.0170515937987,752.117937204059
126-150,tsallis_2c,True,0.8745214340910473,47.85537879773294,58.95626440799329
21-30,juttner_1c,True,68.28254028322915,3010.431772462083,3015.982215267213
21-30,bose_1c,True,65.03183102544224,2867.400565119459,2872.9510079245892
21-30,tsallis_1c,True,0.5894502964554348,31.93581304403913,37.486255849169304
21-30,bgbw,True,18.922695294847877,821.6758976784587,829.0764880852989
21-30,tsallis_2c,True,0.3615706348859524,26.82439603032405,37.9252816405844
31-40,juttner_1c,True,165.24971803647756,7276.987593605013,7282.538036410143
31-40,bose_1c,True,152.59260454510783,6720.074599984745,6725.625042789875
31-40,tsallis_1c,True,6.567127610478965,294.95361486107447,300.50405766620463
31-40,bgbw,True,28.840939060472877,1248.1603796003337,1255.5609700071739
31-40,juttner_2c,True,50.13078070978717,2067.362009101274,2078.4628947115343
31-40,bose_2c,True,45.139616390023434,1862.724271990961,1873.8251576012212
31-40,tsallis_2c,True,1.0254739563695938,54.04443221115334,65.1453178214137
41-50,juttner_1c,True,162.73319833257204,7166.26072663317,7171.8111694383
41-50,bose_1c,True,147.97720736838684,6516.997124209021,6522.547567014151
41-50,tsallis_1c,True,9.110315238824176,406.85387050826375,412.4043133133939
41-50,bgbw,True,25.461918494302367,1102.8624952550017,1110.2630856618418
41-50,juttner_2c,True,49.73921108986977,2051.3076546846605,2062.408540294921
41-50,tsallis_2c,True,1.337700952852971,66.84573906697182,77.94662467723217
51-60,juttner_1c,True,159.9231791931098,7042.619884496831,7048.170327301961
51-60,bose_1c,True,144.00309804834635,6342.1363141272395,6347.6867569323695
51-60,tsallis_1c,True,10.62725634792359,473.59927930863796,479.1497221137681
51-60,bgbw,True,24.067361699129165,1042.8965530625542,1050.2971434693943
51-60,juttner_2c,True,49.004228976341295,2021.173388029993,2032.2742736402533
51-60,bose_2c,True,43.85388392764597,1810.0092410334846,1821.110126643745
51-60,tsallis_2c,True,1.4287378286568067,70.57825097492906,81.67913658518941
61-70,juttner_1c,True,227.2186102540297,10003.618851177307,10009.169293982437
61-70,bose_1c,True,202.82356559651362,8930.2368862466,8935.78732905173
61-70,tsallis_1c,True,18.41797710393699,816.3909925732275,821.9414353783577
61-70,bgbw,True,29.7546852105254,1287.4514640525922,1294.8520544594323
61-70,juttner_2c,True,66.88070197489812,2754.108780970823,2765.209666581083
61-70,bose_2c,True,59.891186440384836,2467.538644055778,2478.6395296660385
61-70,tsallis_2c,True,2.1871220019776754,101.67200208108468,112.77288769134503
71-80,juttner_1c,True,220.44069330714726,9705.390505514479,9710.940948319609
71-80,bose_1c,True,195.24927810401365,8596.9682365766,8602.51867938173
71-80,tsallis_1c,True,19.186295170790988,850.1969875148035,855.7474303199336
71-80,bgbw,True,26.387562612783338,1142.6651923496836,1150.0657827565237
71-80,juttner_2c,True,62.741094984316675,2584.3848943569838,2595.485779967244
71-80,bose_2c,True,56.1081977113298,2312.436106164522,2323.536991774782
71-80,tsallis_2c,True,2.0480904690431716,95.97170923077003,107.07259484103038
81-90,juttner_1c,True,207.20328588175744,9122.944578797327,9128.495021602457
81-90,bose_1c,True,181.72143052538803,8001.742943117073,8007.293385922203
81-90,tsallis_1c,True,19.352933941220844,857.5290934137172,863.0795362188474
81-90,bgbw,True,21.680908716934482,940.2790748281827,947.679665235023
81-90,bose_2c,True,50.086419309693454,2065.5431916974317,2076.644077307692
81-90,tsallis_2c,True,1.7992629893653092,85.76978256397767,96.87066817423802
91-100,juttner_1c,True,192.84836530363899,8491.328073360115,8496.878516165245
91-100,bose_1c,True,167.4317061068589,7372.995068701793,7378.545511506923
91-100,tsallis_1c,True,19.614443895630384,869.0355314077368,874.585974212867
91-100,bgbw,True,16.668621221415503,724.7507125208666,732.1513029277069
91-100,juttner_2c,True,48.28711654112793,1991.7717781862452,2002.8726637965055
91-100,bose_2c,True,43.28974701814552,1786.8796277439662,1797.9805133542266
91-100,tsallis_2c,True,1.6107438385626436,78.04049738106839,89.14138299132874
