group_label,model_name,parameter_name,value,error
101-125,juttner_1c,norm_1,998.4501650659842,30.741895404022785
101-125,juttner_1c,temperature_1,0.5438459034854881,0.004866199424350348
101-125,juttner_1c,U_1,2.9999997096198245,0.015204597911283146
101-125,bose_1c,norm_1,661.648317279299,18.35081789172409
101-125,bose_1c,temperature_1,0.6028607381530969,0.004749473895859224
101-125,bose_1c,U_1,2.9999998827994325,0.02563117009790017
101-125,tsallis_1c,norm_1,4774.704321223722,169.14806414552004
101-125,tsallis_1c,temperature_1,0.12390688638112778,0.0014347674227221802
101-125,tsallis_1c,q_1,1.1796707446765495,0.0009930650406183572
101-125,bgbw,norm_1,45337.071709709264,12545.760785735984
101-125,bgbw,temperature_1,0.09697302470202603,0.008140612408858383
101-125,bgbw,beta_s_1,0.9832196019416768,0.002618091385120147
101-125,bgbw,n_1,1.270687655033109,0.11370258536590483
101-125,bose_2c,norm_1,3739.8750442535224,294.49630142728324
101-125,bose_2c,temperature_1,0.23478220845933587,0.01838526221588062
101-125,bose_2c,U_1,1.831225491301989,0.2685224694781705
101-125,bose_2c,norm_2,42.5960327283556,3.369785998108256
101-125,bose_2c,temperature_2,1.0499380787212187,0.014459018747156605
101-125,bose_2c,U_2,2.999979503932486,0.10873021107129599
101-125,tsallis_2c,norm_1,1133.656552881944,135.4335266274054
101-125,tsallis_2c,temperature_1,0.18807964513563188,0.0057468512449632
101-125,tsallis_2c,q_1,1.1495807575658037,0.0022520640105007095
101-125,tsallis_2c,norm_2,37073.04578315115,17907.82783940791
101-125,tsallis_2c,temperature_2,0.058133439082437545,0.009548078993480223
101-125,tsallis_2c,q_2,1.0842092172473417,0.040758471644073535
126-150,juttner_1c,norm_1,1432.642911557794,47.497627334262916
126-150,juttner_1c,temperature_1,0.51884290056237,0.0050779426701572095
126-150,juttner_1c,U_1,2.9999998558889582,0.022741615016764083
126-150,bose_1c,norm_1,956.0954045536579,30.196795354904395
126-150,bose_1c,temperature_1,0.5744228248072503,0.0052822026142184675
126-150,bose_1c,U_1,2.9999951112784613,0.04197982027621583
126-150,tsallis_1c,norm_1,6918.739339554317,301.92886695579955
126-150,tsallis_1c,temperature_1,0.11443380627147609,0.0016926761179568983
