group_label,model_name,parameter_left,parameter_right,correlation
101-125,tsallis_2c,q_1,q_1,1.0000000000000002
101-125,tsallis_2c,q_1,norm_2,-0.3135183925763077
101-125,tsallis_2c,q_1,temperature_2,0.32474303509731456
101-125,tsallis_2c,q_1,q_2,-0.5007169817859607
101-125,tsallis_2c,norm_2,norm_1,-0.5356707223444321
101-125,tsallis_2c,norm_2,temperature_1,0.4667009676217603
101-125,tsallis_2c,norm_2,q_1,-0.3135183925763077
101-125,tsallis_2c,norm_2,norm_2,0.9999999999999998
101-125,tsallis_2c,norm_2,temperature_2,-0.9968700281775349
101-125,tsallis_2c,norm_2,q_2,0.9381415667414928
101-125,tsallis_2c,temperature_2,norm_1,0.5568607942617545
101-125,tsallis_2c,temperature_2,temperature_1,-0.4848383077018799
101-125,tsallis_2c,temperature_2,q_1,0.32474303509731456
101-125,tsallis_2c,temperature_2,norm_2,-0.9968700281775349
101-125,tsallis_2c,temperature_2,temperature_2,1.0
101-125,tsallis_2c,temperature_2,q_2,-0.9561375697242914
101-125,tsallis_2c,q_2,norm_1,-0.7452271705569334
101-125,tsallis_2c,q_2,temperature_1,0.6746066371220738
101-125,tsallis_2c,q_2,q_1,-0.5007169817859607
101-125,tsallis_2c,q_2,norm_2,0.9381415667414928
101-125,tsallis_2c,q_2,temperature_2,-0.9561375697242914
101-125,tsallis_2c,q_2,q_2,1.0
126-150,juttner_1c,norm_1,norm_1,1.0
126-150,juttner_1c,norm_1,temperature_1,-0.9796695727037744
126-150,juttner_1c,norm_1,U_1,-0.00010334845305532268
126-150,juttner_1c,temperature_1,norm_1,-0.9796695727037744
126-150,juttner_1c,temperature_1,temperature_1,1.0000000000000002
126-150,juttner_1c,temperature_1,U_1,-0.0016863375670444995
126-150,juttner_1c,U_1,norm_1,-0.00010334845305532268
126-150,juttner_1c,U_1,temperature_1,-0.0016863375670444995
126-150,juttner_1c,U_1,U_1,1.0
126-150,bose_1c,norm_1,norm_1,1.0
126-150,bose_1c,norm_1,temperature_1,-0.9781266292651482
126-150,bose_1c,norm_1,U_1,0.001267439919699756
126-150,bose_1c,temperature_1,norm_1,-0.9781266292651482
126-150,bose_1c,temperature_1,temperature_1,0.9999999999999999
126-150,bose_1c,temperature_1,U_1,0.018866158355798798
126-150,bose_1c,U_1,norm_1,0.001267439919699756
126-150,bose_1c,U_1,temperature_1,0.018866158355798798
126-150,bose_1c,U_1,U_1,1.0000000000000002
126-150,tsallis_1c,norm_1,norm_1,0.9999999999999999
126-150,tsallis_1c,norm_1,temperature_1,-0.9846415280514412
126-150,tsallis_1c,norm_1,q_1,0.8293408065474668
126-150,tsallis_1c,temperature_1,norm_1,-0.9846415280514412
126-150,tsallis_1c,temperature_1,temperature_1,1.0000000000000002
126-150,tsallis_1c,temperature_1,q_1,-0.89063977781766
126-150,tsallis_1c,q_1,norm_1,0.8293408065474668
126-150,tsallis_1c,q_1,temperature_1,-0.89063977781766
126-150,tsallis_1c,q_1,q_1,0.9999999999999998
126-150,bgbw,norm_1,norm_1,0.9999999999999999
126-150,bgbw,norm_1,temperature_1,-0.99946357255796
126-150,bgbw,norm_1,beta_s_1,0.9878729121195876
126-150,bgbw,norm_1,n_1,-0.9695260599726239
126-150,bgbw,temperature_1,norm_1,-0.99946357255796
126-150,bgbw,temperature_1,temperature_1,1.0
126-150,bgbw,temperature_1,beta_s_1,-0.9873691133932749
126-150,bgbw,temperature_1,n_1,0.9751784573273484
126-150,bgbw,beta_s_1,norm_1,0.9878729121195876
126-150,bgbw,beta_s_1,temperature_1,-0.9873691133932749
126-150,bgbw,beta_s_1,beta_s_1,0.9999999999999998
126-150,bgbw,beta_s_1,n_1,-0.9417636991343694
126-150,bgbw,n_1,norm_1,-0.9695260599726239
126-150,bgbw,n_1,temperature_1,0.9751784573273484
126-150,bgbw,n_1,beta_s_1,-0.9417636991343694
126-150,bgbw,n_1,n_1,1.0
126-150,juttner_2c,norm_1,norm_1,1.0
126-150,juttner_2c,norm_1,temperature_1,-0.979444681601434
126-150,juttner_2c,norm_1,U_1,-0.0021458821768373555
126-150,juttner_2c,norm_1,norm_2,0.4614825672084246
126-150,juttner_2c,norm_1,temperature_2,-0.27657993145101156
126-150,juttner_2c,norm_1,U_2,-0.15500909594253073
126-150,juttner_2c,temperature_1,norm_1,-0.979444681601434
126-150,juttner_2c,temperature_1,temperature_1,1.0000000000000002
126-150,juttner_2c,temperature_1,U_1,-0.04500407845442884
126-150,juttner_2c,temperature_1,norm_2,-0.433083907726342
126-150,juttner_2c,temperature_1,temperature_2,0.26009820663543914
126-150,juttner_2c,temperature_1,U_2,0.1454136311502311
126-150,juttner_2c,U_1,norm_1,-0.0021458821768373555
126-150,juttner_2c,U_1,temperature_1,-0.04500407845442884
126-150,juttner_2c,U_1,U_1,0.9999999999999999
126-150,juttner_2c,U_1,norm_2,9.867701460138482e-05
126-150,juttner_2c,U_1,temperature_2,-3.0909381527561434e-05
126-150,juttner_2c,U_1,U_2,-2.178408483168664e-05
126-150,juttner_2c,norm_2,norm_1,0.4614825672084246
126-150,juttner_2c,norm_2,temperature_1,-0.433083907726342
126-150,juttner_2c,norm_2,U_1,9.867701460138482e-05
126-150,juttner_2c,norm_2,norm_2,1.0
126-150,juttner_2c,norm_2,temperature_2,0.5154827905540786
126-150,juttner_2c,norm_2,U_2,0.6372214772224252
126-150,juttner_2c,temperature_2,norm_1,-0.27657993145101156
126-150,juttner_2c,temperature_2,temperature_1,0.26009820663543914
126-150,juttner_2c,temperature_2,U_1,-3.0909381527561434e-05
126-150,juttner_2c,temperature_2,norm_2,0.5154827905540786
126-150,juttner_2c,temperature_2,temperature_2,1.0
