group_label,model_name,parameter_name,value,error
101-125,juttner_1c,norm_1,998.1206049701934,30.71125518189791
101-125,juttner_1c,temperature_1,0.5438933423244379,0.004863247673782767
101-125,juttner_1c,U_1,2.9999999998648836,0.015518645760036698
101-125,bose_1c,norm_1,661.8106968964025,18.362202167750297
101-125,bose_1c,temperature_1,0.6028214705027559,0.004750971690360761
101-125,bose_1c,U_1,2.999999710149889,0.025138507935788645
101-125,tsallis_1c,norm_1,4774.753829672479,169.14725764791865
101-125,tsallis_1c,temperature_1,0.1239064502468736,0.0014347417620858005
101-125,tsallis_1c,q_1,1.1796709565813648,0.000993053964711832
101-125,bgbw,norm_1,45329.14272650101,12673.566517211313
101-125,bgbw,temperature_1,0.09697840991335438,0.00822547436490522
101-125,bgbw,beta_s_1,0.9832181928610975,0.0026452331064153456
101-125,bgbw,n_1,1.2707826653936878,0.11484164103754879
101-125,bose_2c,norm_1,3740.234626337977,332.6025414694352
101-125,bose_2c,temperature_1,0.23477042647563173,0.020898092412744804
101-125,bose_2c,U_1,1.8311826254483266,0.31235621520713897
101-125,bose_2c,norm_2,42.603849439057555,3.2548199164788585
101-125,bose_2c,temperature_2,1.0499141858945171,0.013976410462668398
101-125,bose_2c,U_2,2.9999999986504533,0.12459315805721016
101-125,tsallis_2c,norm_1,1133.7724810029165,135.3937689052098
101-125,tsallis_2c,temperature_1,0.18807431200285732,0.005743888003735653
101-125,tsallis_2c,q_1,1.149582733560722,0.0022508559973311026
101-125,tsallis_2c,norm_2,37057.09437058692,17942.87707241428
101-125,tsallis_2c,temperature_2,0.058141807746025446,0.009571597093739892
101-125,tsallis_2c,q_2,1.0841752255627715,0.04082844678425013
126-150,juttner_1c,norm_1,1432.627676893896,47.493963245350415
126-150,juttner_1c,temperature_1,0.5188438481185489,0.00507761841974258
126-150,juttner_1c,U_1,2.9999998338483422,0.022832193324549
126-150,bose_1c,norm_1,956.291519725658,30.468348886038882
126-150,bose_1c,temperature_1,0.5743870628586335,0.005331729679554087
126-150,bose_1c,U_1,2.9999999583334365,0.04391619824295789
126-150,tsallis_1c,norm_1,6916.852931817323,301.46562693690885
126-150,tsallis_1c,temperature_1,0.11444328115228632,0.0016907468311609386
126-150,tsallis_1c,q_1,1.1975854468993683,0.0014116201762444103
126-150,bgbw,norm_1,68378.83050319122,19785.704018818353
126-150,bgbw,temperature_1,0.08994122609504746,0.007747401519754546
126-150,bgbw,beta_s_1,0.9868051935105014,0.0021524773974370692
126-150,bgbw,n_1,1.0978136536864582,0.0962277222034904
126-150,juttner_2c,norm_1,125.81370374801543,8.078649153758086
126-150,juttner_2c,temperature_1,0.9096564632722789,0.011639586912034705
126-150,juttner_2c,U_1,2.999997337466177,0.15640349676702892
126-150,juttner_2c,norm_2,10342.820214517644,1000.3316894186482
126-150,juttner_2c,temperature_2,0.235653707666209,0.04007212097121031
126-150,juttner_2c,U_2,2.6129957488477804,0.5965746633517582
126-150,bose_2c,norm_1,103.77350059803108,7.291210672064338
126-150,bose_2c,temperature_1,0.9415634919755446,0.012961290479166387
126-150,bose_2c,U_1,2.9999999909170914,0.222015572228504
126-150,bose_2c,norm_2,6036.644764518595,798.371580086221
126-150,bose_2c,temperature_2,0.17850732325893484,0.013172883355805423
126-150,bose_2c,U_2,1.4086980874284463,0.2886679950629246
126-150,tsallis_2c,norm_1,48287.04663908809,34375.46463063451
126-150,tsallis_2c,temperature_1,0.05557811686481718,0.013710551891414919
126-150,tsallis_2c,q_1,1.104432554756253,0.06387517065181747
126-150,tsallis_2c,norm_2,1245.5686001881747,272.5840253973134
126-150,tsallis_2c,temperature_2,0.1910278561680926,0.010581019811903888
126-150,tsallis_2c,q_2,1.1578936734113097,0.004090868764469513
21-30,juttner_1c,norm_1,82.3776294040319,6.78932170647532
21-30,juttner_1c,temperature_1,0.4575237191525881,0.00745361992653415
21-30,juttner_1c,U_1,2.9999948544201835,0.06707283875741465
21-30,bose_1c,norm_1,67.99962642278236,5.480403385928504
21-30,bose_1c,temperature_1,0.4741508644964699,0.007486392338121678
21-30,bose_1c,U_1,2.9999984600131513,0.10313485515597742
21-30,tsallis_1c,norm_1,946.7831050322119,64.69714785182856
21-30,tsallis_1c,temperature_1,0.0946118806573298,0.0016451975676610928
21-30,tsallis_1c,q_1,1.1455235719817642,0.0010502510491640082
21-30,bgbw,norm_1,1505.7477005241317,141.31890817459475
21-30,bgbw,temperature_1,0.12602442501988512,0.0029947271404845224
21-30,bgbw,beta_s_1,0.9352106293041549,0.003454520097938396
21-30,bgbw,n_1,3.9999992504091217,0.009706732513904193
21-30,bose_2c,norm_1,0.2773611066231527,0.038006246802750054
21-30,bose_2c,temperature_1,1.1138315379084285,0.02166382815324297
21-30,bose_2c,U_1,2.9999999851285013,0.3123875461607861
21-30,bose_2c,norm_2,270.59953499239555,20.80556511636985
21-30,bose_2c,temperature_2,0.34673314092945795,0.006024006385435404
21-30,bose_2c,U_2,2.9999375028178097,0.3978344372986029
21-30,tsallis_2c,norm_1,679.6128868280833,110.72589716959101
21-30,tsallis_2c,temperature_1,0.10177654270461542,0.003638628650900054
21-30,tsallis_2c,q_1,1.142491940752704,0.0016460985339288303
21-30,tsallis_2c,norm_2,816.1426520634378,712.6911096686839
21-30,tsallis_2c,temperature_2,0.06891928514534601,0.017146018252451652
21-30,tsallis_2c,q_2,1.0010320087645797,0.9546985740272589
31-40,juttner_1c,norm_1,283.73649728118403,11.307187714984622
31-40,juttner_1c,temperature_1,0.4738937023537635,0.004559482419515759
31-40,juttner_1c,U_1,2.999999993950241,0.02582655827864566
31-40,bose_1c,norm_1,213.43403852953915,8.035602969126757
