,norm_1,temperature_1,U_1
norm_1,225.68532440528637,-0.06716437887922734,1.5363260947389385e-08
temperature_1,-0.06716437887922734,2.0900999793877512e-05,7.424050046024798e-11
U_1,1.5363260947389385e-08,7.424050046024798e-11,9.858719963720146e-11
