,norm_1,temperature_1,q_1
norm_1,8701.651192305322,-0.1089801748335767,0.05847747715371686
temperature_1,-0.1089801748335767,1.4186379389035589e-06,-8.027941840683533e-07
q_1,0.05847747715371686,-8.027941840683533e-07,5.452032900273765e-07
