,norm_1,temperature_1,U_1
norm_1,465.5581614854629,-0.09760878439169841,-4.135383050532092e-07
temperature_1,-0.09760878439169841,2.118364750529279e-05,-2.5078510203564087e-09
U_1,-4.135383050532092e-07,-2.5078510203564087e-09,7.896065722531692e-10
