,norm_1,temperature_1,q_1,norm_2,temperature_2,q_2
norm_1,1.7000230952818005,-6.695008004035972e-06,-3.590291005832669e-06,-1.1001808905305431e-05,0.0007102812464723272,0.00046318901198167685
temperature_1,-6.695008004035972e-06,1.1418710168058417e-08,-6.9510615801464116e-09,-4.585656857268154e-09,2.950536445495363e-07,1.9291182482019804e-07
q_1,-3.590291005832669e-06,-6.9510615801464116e-09,3.2264590652849936e-08,2.0802301962268365e-08,-1.3486595561086603e-06,-8.775691508739399e-07
norm_2,-1.1001808905305431e-05,-4.585656857268154e-09,2.0802301962268365e-08,0.008271541475762026,-0.5343486260358763,-0.34819559159759694
temperature_2,0.0007102812464723272,2.950536445495363e-07,-1.3486595561086603e-06,-0.5343486260358763,34.64959400488186,22.482407193969532
q_2,0.00046318901198167685,1.9291182482019804e-07,-8.775691508739399e-07,-0.34819559159759694,22.482407193969532,14.920794165033522
