,norm_1,temperature_1,beta_s_1,n_1
norm_1,295700.41872195434,-2.389204470919932,0.9507650170688469,-80.72349800413116
temperature_1,-2.389204470919932,1.9421531646419094e-05,-7.685943032301159e-06,0.000667264765100202
beta_s_1,0.9507650170688469,-7.685943032301159e-06,3.490773991486628e-06,-0.00023408413606525446
n_1,-80.72349800413116,0.000667264765100202,-0.00023408413606525446,0.026235839330518845
