source_record,source_table,source_table_doi,observable_kind,eta_range,multiplicity_selection,manuscript_bin,fit_ready,mapping_status,pt_low_gev,pt_high_gev,pt_center_gev,yield_value,stat_error,sys_error,total_error
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.35,0.4,0.375,26.5,0.021,0.6554,0.6557363494576155
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.35,0.4,0.375,31.09,0.03608,0.7695,0.7703453877320224
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.35,0.4,0.375,35.5,0.0632,0.879,0.8812691075942695
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.35,0.4,0.375,39.71,0.1127,0.9823,0.988743940562975
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.35,0.4,0.375,44.85,0.1794,1.109,1.1234168238013886
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.35,0.4,0.375,53.52,0.6024,1.326,1.456420873236854
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.4,0.45,0.425,3.516,0.001423,0.2395,0.2395042273718775
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.4,0.45,0.425,9.838,0.003881,0.3315,0.331522717413151
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.4,0.45,0.425,14.92,0.006907,0.4977,0.4977479248063219
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.4,0.45,0.425,19.6,0.0117,0.6537,0.6538046956087116
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.4,0.45,0.425,24.05,0.01987,0.5977,0.5980301889537015
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.4,0.45,0.425,28.32,0.03422,0.7044,0.7052307199775121
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.4,0.45,0.425,32.45,0.06003,0.8067,0.808930461102807
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.4,0.45,0.425,36.45,0.1073,0.9053,0.9116366491097206
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.4,0.45,0.425,41.2,0.1708,1.024,1.038146733366724
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.4,0.45,0.425,49.15,0.5736,1.221,1.3490211117695676
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.45,0.5,0.475,3.046,0.001344,0.2067,0.2067043694168074
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.45,0.5,0.475,8.722,0.003715,0.2947,0.2947234147891884
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.45,0.5,0.475,13.35,0.006643,0.4466,0.4466494032784551
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.45,0.5,0.475,17.67,0.0113,0.591,0.5911080188933322
