group_label,model_name,component_count,parameter_name,value,error
101-125,manuscript_juttner,2,norm_1,48.53405606159787,3.4744873501225264
101-125,manuscript_juttner,2,temperature_1,1.0104635695435233,0.02742334125355189
101-125,manuscript_juttner,2,U_1,2.936737543259517,0.09272851126957371
101-125,manuscript_juttner,2,norm_2,4877.645482326308,222.61814327874026
101-125,manuscript_juttner,2,temperature_2,0.3127701705762555,0.01091872007923389
101-125,manuscript_juttner,2,U_2,2.9555055795683884,0.11972914748861552
126-150,manuscript_juttner,1,norm_1,1365.8057930312068,43.13237849854181
126-150,manuscript_juttner,1,temperature_1,0.5243217803373016,0.004929941637862367
126-150,manuscript_juttner,1,U_1,2.99999999453545,0.022356023429367156
126-150,exact_bose_einstein,1,norm_1,906.977888555231,27.371691556618373
126-150,exact_bose_einstein,1,temperature_1,0.5812938780103941,0.005144102658462435
126-150,exact_bose_einstein,1,U_1,2.999999926192293,0.044688731714338736
126-150,tsallis,1,norm_1,6918.542049572927,301.79910825338857
126-150,tsallis,1,temperature_1,0.11443499336062382,0.0016919323158071306
126-150,tsallis,1,q_1,1.1975925751114607,0.0014120583281999055
126-150,blast_wave,1,norm_1,67883.89360495756,20348.441053580074
126-150,blast_wave,1,temperature_1,0.09013517368918532,0.008050385548062505
126-150,blast_wave,1,beta_s_1,0.98675691511193,0.0022376439615147126
126-150,blast_wave,1,n_1,1.10046880546556,0.10008846445839703
126-150,manuscript_juttner,2,norm_1,107.58587989104137,6.274667771358786
126-150,manuscript_juttner,2,temperature_1,0.8940343773582288,0.020702030899993784
126-150,manuscript_juttner,2,U_1,2.8272258117009295,0.08493608602960245
126-150,manuscript_juttner,2,norm_2,7871.070941968593,398.0160157893697
126-150,manuscript_juttner,2,temperature_2,0.2573577863796922,0.007497225550377809
126-150,manuscript_juttner,2,U_2,2.6850907227050276,0.10889117408880233
126-150,exact_bose_einstein,2,norm_1,85.29040323384157,5.646557818210098
126-150,exact_bose_einstein,2,temperature_1,0.8513811274526595,0.021789018095527746
126-150,exact_bose_einstein,2,U_1,2.5050419519915255,0.09144938944364678
126-150,exact_bose_einstein,2,norm_2,4976.339863305111,325.5331809476911
126-150,exact_bose_einstein,2,temperature_2,0.20862390224595315,0.00604880992403331
126-150,exact_bose_einstein,2,U_2,1.719218072292261,0.1000359342678574
126-150,tsallis,2,norm_1,400.760118494088,103.56108047975204
126-150,tsallis,2,temperature_1,0.25054593162005967,0.017656369198043684
126-150,tsallis,2,q_1,1.124485326182165,0.010237099323144427
126-150,tsallis,2,norm_2,89259.94771027374,23848.972169947803
126-150,tsallis,2,temperature_2,0.043090705046401175,0.004023653703807882
126-150,tsallis,2,q_2,1.2369443505945736,0.004063016260624663
21-30,manuscript_juttner,1,norm_1,83.12685103317241,6.617886930434999
21-30,manuscript_juttner,1,temperature_1,0.45628410006206443,0.007222125424044129
21-30,manuscript_juttner,1,U_1,2.9999999993575543,0.07614471331467976
21-30,exact_bose_einstein,1,norm_1,68.09805070022873,5.308697322245809
21-30,exact_bose_einstein,1,temperature_1,0.4736181371896295,0.007272410593708284
21-30,exact_bose_einstein,1,U_1,2.999999605801908,0.10463641402301849
21-30,tsallis,1,norm_1,946.9705130126499,64.67046071828804
21-30,tsallis,1,temperature_1,0.09460624174298411,0.001644159506562333
21-30,tsallis,1,q_1,1.1455268678572315,0.0010498089126268484
21-30,blast_wave,1,norm_1,1505.9499432951707,141.5426585642673
21-30,blast_wave,1,temperature_1,0.12601996499279874,0.0029987850010864334
21-30,blast_wave,1,beta_s_1,0.9352192367727155,0.0034578121970799125
21-30,blast_wave,1,n_1,3.999999999732818,0.009694598802588716
21-30,manuscript_juttner,2,norm_1,0.31195777916694334,0.0449356476793098
21-30,manuscript_juttner,2,temperature_1,1.0937825976036872,0.024557809124441943
21-30,manuscript_juttner,2,U_1,2.9900038513393947,0.03509832474455288
21-30,manuscript_juttner,2,norm_2,291.5271389263115,22.68527202576101
