beta_s,T_kin_gev,chi2,norm,n_val,delta_chi2,inside_68cl
0.1,0.34057615506381156,8076.270674451798,694.947567665282,0.10000000001147726,7074.355216471598,False
0.13541666666666669,0.33879864004328825,7944.004782726596,705.2871283853259,0.10000000013941636,6942.089324746396,False
0.17083333333333334,0.3361587007921267,7781.418521128504,721.1992891904084,0.10000000002946614,6779.503063148304,False
0.20625,0.33249285683828805,7595.587558846842,744.2823619080223,0.10000000000876748,6593.672100866642,False
0.24166666666666667,0.32768881124037674,7394.575723286751,776.2002720993871,0.1000000004819446,6392.660265306551,False
0.27708333333333335,0.3217043991039412,7186.898516426877,818.6458870937472,0.10000000010855925,6184.983058446677,False
0.3125,0.31456007155695703,6980.967993389133,873.4263803508688,0.10000000009856878,5979.052535408933,False
0.34791666666666665,0.3063405338560226,6784.627142331275,942.4455476953217,0.10000000001142259,5782.711684351075,False
0.3833333333333333,0.29716319729051344,6604.835724224223,1027.9338317117458,0.10000000021236363,5602.920266244023,False
0.41874999999999996,0.2871694027939928,6447.509003175164,1132.4689938215722,0.10000000184819331,5445.5935451949645,False
0.4541666666666666,0.2764899982993361,6317.46978231778,1259.3811022202449,0.10000000594795486,5315.5543243375805,False
0.48958333333333337,0.265258606036611,6218.463114686655,1412.6912540381932,0.1000000014571667,5216.547656706455,False
0.525,0.2740877688091001,6113.825214179142,1292.6552459183,0.43737721981369265,5111.909756198942,False
0.5604166666666667,0.27621930149949325,5953.776475660195,1267.4440361673876,0.7089770424646094,4951.861017679995,False
0.5958333333333333,0.27632719569520797,5757.068376276023,1268.951544387211,0.9650483793820155,4755.152918295823,False
0.63125,0.2754798961631936,5522.5669618845395,1283.5998592884744,1.2231052522729744,4520.65150390434,False
0.6666666666666666,0.2739394210227584,5245.704105287855,1308.8374445505917,1.4901637154787684,4243.788647307655,False
0.7020833333333333,0.2717220822624762,4919.804343263686,1345.6230034781904,1.77044931217321,3917.888885283486,False
0.7374999999999999,0.2686990958412033,4536.373730492244,1397.6990196895126,2.067644340435882,3534.4582725120445,False
0.7729166666666666,0.2645658651965629,4085.4385237899264,1473.0366637792717,2.384151553304572,3083.5230658097266,False
0.8083333333333332,0.25873460478483146,3556.7061279589693,1587.9808309032135,2.7182863188076554,2554.7906699787695,False
0.84375,0.25012628376717994,2943.15658063529,1778.2475233156738,3.05734671439941,1941.2411226550903,False
0.8791666666666667,0.2367102483693029,2251.462976961669,2133.52648251339,3.357927834744878,1249.5475189814692,False
0.9145833333333333,0.21424702756570874,1534.29044064514,2949.342711531094,3.480848292808734,532.3749826649403,False
0.95,0.17046536255534803,1001.9154579801998,6072.225769775142,2.8846057492978163,0.0,True
