species,mass_gev,success,chi2,ndf,chi2_ndf,norm,temperature_gev,beta_s,n_val,mean_beta,n_points
pion,0.13957,True,101563.83861618898,476,213.36940885753987,2925.7622353102124,0.10460891927372795,0.8949535566788009,3.9999999998852536,0.29831785223197216,480
kaon,0.49368,True,44926.01846184698,426,105.46013723438259,1130.0508882029542,0.121040801682175,0.862908643812566,3.9999999998992446,0.28763621460901884,430
proton,0.93827,True,35740.295871687296,406,88.03028539824457,5667.656907269782,0.12696404851905993,0.6937505072249806,3.9999999999893516,0.2312501690754039,410
