,norm_1,temperature_1,U_1
norm_1,8.451288466221065,-0.018735725050198455,-8.675970915318302e-07
temperature_1,-0.018735725050198455,4.704110509376269e-05,-2.617529153992012e-08
U_1,-8.675970915318302e-07,-2.617529153992012e-08,5.93114291785968e-08
