,norm_1,temperature_1,U_1
norm_1,5.958656794328821,-0.010070431685597748,-5.657475521093355e-08
temperature_1,-0.010070431685597748,1.94815602854379e-05,-1.4682965485007216e-09
U_1,-5.657475521093355e-08,-1.4682965485007216e-09,8.954913430340773e-10
