,norm_1,temperature_1,U_1,norm_2,temperature_2,U_2
norm_1,29.386736584379495,-0.047599760385859044,0.011580448683368359,0.736904002445984,-0.08765798569010272,-6.927579373596158e-05
temperature_1,-0.047599760385859044,0.00011429323510834884,0.00021605775513996745,-0.0016802213533834403,0.00020227114395148774,1.0341322945496744e-08
U_1,0.011580448683368359,0.00021605775513996745,0.002109060400064833,-6.002646620774044e-05,7.053091395557687e-06,1.6714248500497534e-09
norm_2,0.736904002445984,-0.0016802213533834403,-6.002646620774044e-05,0.047675255325573845,-0.005951428038987245,3.8319296772820474e-05
temperature_2,-0.08765798569010272,0.00020227114395148774,7.053091395557687e-06,-0.005951428038987245,0.0007931137703327179,0.0001021318441311956
U_2,-6.927579373596158e-05,1.0341322945496744e-08,1.6714248500497534e-09,3.8319296772820474e-05,0.0001021318441311956,0.00036627578912618383
