,norm_1,temperature_1,U_1
norm_1,28.226405539248756,-0.0380726277384802,3.346407643725976e-05
temperature_1,-0.0380726277384802,5.3055440083021815e-05,1.0299968148302695e-06
U_1,3.346407643725976e-05,1.0299968148302695e-06,8.34401703826514e-06
