,norm_1,temperature_1,beta_s_1,n_1
norm_1,7614364.623093954,-21.26502275033288,8.464180518468549,-438.3595397542733
temperature_1,-21.26502275033288,5.9480316667079054e-05,-2.3649448586668757e-05,0.0012326105370726245
beta_s_1,8.464180518468549,-2.3649448586668757e-05,9.612953846047498e-06,-0.00047897735867661066
n_1,-438.3595397542733,0.0012326105370726245,-0.00047897735867661066,0.0267016838768928
