pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,68.22,1.952215408196544,27.10328167822563,41.11671832177437,21.061568384893544
0.225,66.24,1.771592574493357,32.2492341996762,33.99076580032379,19.186559195217065
0.275,61.43,1.648951193941167,35.9383336850898,25.491666314910198,15.459321299851473
0.3249999999999999,57.44,1.5500518830026304,38.35304225060537,19.086957749394628,12.313754112811356
0.375,53.52,1.456420873236854,39.712974609915285,13.807025390084718,9.480106776689485
0.425,49.15,1.3490211117695676,40.226139974481804,8.923860025518195,6.615063283785376
0.475,44.8,1.26152694778986,40.07306167294393,4.726938327056068,3.746997505949006
0.525,40.83,1.2356670263464993,39.404588495016974,1.4254115049830247,1.1535563178355124
0.575,37.08,1.152970181747993,38.34461815746665,-1.26461815746665,-1.096835093817769
0.625,33.97,1.0224325601231603,36.99410608960126,-3.0241060896012613,-2.9577560491979864
0.675,31.64,0.9663803185081948,35.43498580935385,-3.7949858093538467,-3.9270106568521403
0.725,29.14,0.90538304048618,33.73356506003712,-4.593565060037122,-5.073615093972195
0.775,26.81,0.8546195235307932,31.943331414758998,-5.133331414758999,-6.00656932520222
0.825,25.13,0.8196334607615773,30.107230300443895,-4.977230300443896,-6.072507454514134
0.875,22.6,0.766540338142749,28.25950983772255,-5.659509837722549,-7.383185927872991
0.925,20.3,0.7271085200986164,26.427221909723198,-6.127221909723197,-8.42683277716533
0.975,19.61,0.7114480515118444,24.631453147863507,-5.021453147863507,-7.058074215247054
1.05,17.59,0.694487760871277,22.040437705029557,-4.450437705029557,-6.408230577665204
1.15,15.16,0.6122676048918478,18.8317849972688,-3.6717849972688015,-5.997026411216698
1.25,13.35,0.5580104837724825,15.946168194996515,-2.5961681949965154,-4.652543761265694
1.35,11.42,0.4854597820623249,13.398580269247178,-1.9785802692471783,-4.075683181914258
1.45,9.687,0.4354608708024178,11.182350858897244,-1.495350858897245,-3.433950003686399
1.55,8.594,0.392111119454677,9.277552842025242,-0.683552842025243,-1.743263090768465
1.65,7.701,0.3722774502974898,7.656907591992165,0.04409240800783465,0.11843964218783615
1.75,6.498,0.3212986772459544,6.289845083006403,0.208154916993597,0.6478548831194043
1.85,5.54,0.3027417381201343,5.145209647370951,0.39479035262904905,1.3040499637760155
1.95,5.01,0.2776480145796112,4.192982898180262,0.8170171018197374,2.942636211740209
2.1,4.188,0.2188020852277235,3.065194447351674,1.1228055526483258,5.131603528731178
2.3,3.003,0.1620642776801846,1.9979468284619513,1.0050531715380489,6.201571289642291
2.5,2.451,0.1359863482118701,1.289382566686794,1.161617433313206,8.542162125740573
2.7,1.974,0.1138030425779557,0.825117645713375,1.1488823542866249,10.095357103476687
2.9,1.415,0.0871725748157068,0.5242225666756845,0.8907774333243156,10.218551364434573
3.1,1.245,0.0783983686054754,0.3309854825014038,0.9140145174985963,11.658591036481859
3.3,0.9038,0.0611125069032518,0.2078475336764679,0.6959524663235321,11.388052979487583
3.5,0.8185,0.0567889822060582,0.12990078519463946,0.6885992148053606,12.125577674676153
3.7,0.6101,0.0457101214174716,0.080844377249974,0.529255622750026,11.578521481409384
3.9,0.4549,0.0372380034373487,0.050125748105250174,0.40477425189474986,10.86992358695505
4.25,0.3509,0.0240186448410396,0.021545941834535277,0.3293540581654647,13.712433001328698
4.75,0.2419,0.01819112420935,0.006356189139756036,0.23554381086024398,12.948282258398168
5.25,0.1617,0.0138862306260554,0.0018492763449146712,0.15985072365508535,11.511455337285684
5.75,0.1051,0.0104302748285939,0.0005320299058422863,0.10456797009415772,10.025428074770536
6.25,0.07088,0.0081858658674571,0.00015165453306962472,0.07072834546693037,8.640301052098938
6.75,0.06157,0.0075064858622394,4.289539551171455e-05,0.061527104604488285,8.196525742357554
7.5,0.03759,0.0042456175051457,6.375484705205467e-06,0.037583624515294796,8.85233407619583
9.0,0.01627,0.0019498012232019,1.3619882412670508e-07,0.016269863801175875,8.344370496628386
11.5,0.007645,0.001036705946737,2.0927694291330718e-10,0.007644999790723057,7.374318450458839
16.5,0.001705,0.0003029043956432,4.2693753087410826e-16,0.001704999999999573,5.628838750851085
