pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,34.52,0.8466576439742336,12.100569121350945,22.41943087864906,26.47992495929246
0.225,33.6,0.824083252408396,14.366894350969432,19.23310564903057,23.338789609935066
0.275,31.54,0.7755588488954271,15.97345400788299,15.566545992117009,20.07139240856748
0.3249999999999999,29.12,0.7177471298444879,17.00603333689724,12.113966663102762,16.877763991515312
0.375,26.5,0.6557363494576155,17.566158000784057,8.933841999215943,13.624137210946845
0.425,24.05,0.5980301889537015,17.749212014576138,6.300787985423863,10.535902872140221
0.475,21.78,0.5440399644327611,17.63750197781525,4.14249802218475,7.614326691061918
0.525,19.61,0.4927580018629834,17.29948029370417,2.3105197062958283,4.688954207867522
0.575,17.76,0.4493699287891881,16.791130901181575,0.968869098818427,2.1560612687836316
0.625,16.05,0.4089827577050162,16.15788402350599,-0.10788402350598858,-0.26378623908590604
0.675,14.59,0.3746982024242977,15.436453660753614,-0.846453660753614,-2.259027812989382
0.725,13.29,0.3447076842775629,14.656414348573707,-1.3664143485737075,-3.963979948510384
0.775,12.14,0.3175160980170926,13.841496880139106,-1.7014968801391053,-5.358773589008737
0.825,11.06,0.2925237727091595,13.010637453446083,-1.9506374534460829,-6.668304033482761
0.875,10.06,0.2687313498645068,12.178826290064467,-2.118826290064467,-7.884551955448332
0.925,9.187,0.2483360507457586,11.357797886807123,-2.170797886807124,-8.741372347221317
0.975,8.387,0.2296320674470358,10.5565970474871,-2.1695970474871,-9.448144902442746
1.05,7.351,0.2626630665243974,9.406388020932805,-2.0553880209328055,-7.825188550983018
1.15,6.205,0.2256563980923208,7.991390086412912,-1.7863900864129123,-7.916416735864331
1.25,5.156,0.1938468517567412,6.727996645372589,-1.5719966453725895,-8.109477307092359
1.35,4.467,0.1679480770982508,5.620333079329578,-1.1533330793295784,-6.867200263655716
1.45,3.695,0.1464357552512364,4.663261313774289,-0.9682613137742888,-6.612191893387415
1.55,3.191,0.1264368000227781,3.846153695140274,-0.6551536951402741,-5.181669379660396
1.65,2.672,0.1127253236677544,3.1555094970088313,-0.48350949700883117,-4.289271312575005
1.75,2.318,0.0978559870217453,2.5767239595750926,-0.25872395957509253,-2.643925706023481
1.85,1.945,0.0917205544248398,2.095241432926099,-0.15024143292609904,-1.6380345045691371
1.95,1.682,0.079330939966699,1.6972670308000044,-0.015267030800004466,-0.1924473705519329
2.1,1.334,0.0628846447155424,1.229615802389555,0.10438419761044515,1.6599314201841364
2.3,0.9919,0.0467741477741711,0.7918849219416698,0.2000150780583302,4.276188612222657
2.5,0.7452,0.0351637220583942,0.5049152761381729,0.2402847238618271,6.83331313627156
2.7,0.5598,0.0264530201678371,0.3192326355780268,0.24056736442197318,9.094136053109995
2.9,0.427,0.0201627118463762,0.20038288264265564,0.22661711735734436,11.239416556859327
3.1,0.329,0.0155822503188724,0.1249993562402422,0.20400064375975782,13.091860263127913
3.3,0.253,0.0119616136035235,0.07755306800032184,0.17544693199967815,14.667497029664728
3.5,0.2008,0.0095068760505225,0.04788759277792911,0.1529124072220709,16.08440105976419
3.7,0.156,0.0073947774821153,0.029445588692127576,0.12655441130787243,17.11402562334724
3.9,0.1253,0.0059486606971653,0.018038175551324687,0.10726182444867531,18.03125609429842
4.25,0.08512,0.0040339802924654,0.0075916211858305365,0.07752837881416946,19.218829343062396
4.75,0.05162,0.0024538390248751,0.002173133336577127,0.04944686666342287,20.15081925186177
5.25,0.03207,0.0015293007683251,0.000613510624112308,0.03145648937588769,20.569197392308276
5.75,0.02094,0.0010054297240483,0.00017127560542744925,0.02076872439457255,20.656564947123883
6.25,0.01375,0.0006659841739861,4.737629739983813e-05,0.013702623702600163,20.574998983213305
6.75,0.009336,0.0004581720419231,1.3003748737404267e-05,0.009322996251262596,20.348243450497087
7.5,0.005887,0.0002865715380145,1.8476023558638513e-06,0.005885152397644136,20.536416276435514
9.0,0.002612,0.0001279628852441,3.607185526716489e-08,0.002611963928144733,20.41188679953716
11.5,0.0008073,4.111927163751809e-05,4.770878980928691e-11,0.0008072999522912102,19.633128704415395
16.5,0.0001728,9.71033397983818e-06,7.212760070043312e-17,0.00017279999999992787,17.795474425361373
