complexity,loss,equation,score,sympy_format,lambda_format
1,5.003051e-07,4.671522e-6,0.0,4.67152200000000e-6,PySRFunction(X=>0.00000467152200000000)
3,5.0006867e-07,0.0002508089 / x0,0.0002363416669771604,0.0002508089/x0,PySRFunction(X=>0.0002508089/x0)
4,3.0483898e-07,exp(x0 / -0.81557673),0.4949617262171819,exp(x0/(-0.81557673)),PySRFunction(X=>exp(x0/(-0.81557673)))
5,3.0934505e-08,exp(2.6483147 - exp(x0)),2.2879114752128396,exp(2.6483147 - exp(x0)),PySRFunction(X=>exp(2.6483147 - exp(x0)))
6,6.0485355e-09,exp((0.87814134 - x0) * 2.5543957),1.6320560509375799,exp((0.87814134 - x0)*2.5543957),PySRFunction(X=>exp((0.87814134 - x0)*2.5543957))
8,6.0311804e-09,exp((0.87813866 - x0) * 2.5543952) + 4.1676976e-6,0.0014367152410578448,exp((0.87813866 - x0)*2.5543952) + 4.1676976e-6,PySRFunction(X=>exp((0.87813866 - x0)*2.5543952) + 4.1676976e-6)
10,1.1062471e-09,2.0567024 / (((x0 * x0) * exp(x0)) + 0.3329654),0.8479847251372806,2.0567024/(x0*x0*exp(x0) + 0.3329654),PySRFunction(X=>2.0567024/(x0*x0*exp(x0) + 0.3329654))
12,6.170997e-10,1.7185054 / ((x0 * ((x0 - 0.15799554) * exp(x0))) + 0.32123095),0.2918489878338724,1.7185054/(x0*(x0 - 1*0.15799554)*exp(x0) + 0.32123095),PySRFunction(X=>1.7185054/(x0*(x0 - 1*0.15799554)*exp(x0) + 0.32123095))
14,6.0388566e-10,(1.7185018 / (((x0 * (x0 - 0.15799554)) * exp(x0)) + 0.32123095)) + 3.6293038e-6,0.010822861901681358,3.6293038e-6 + 1.7185018/(x0*(x0 - 1*0.15799554)*exp(x0) + 0.32123095),PySRFunction(X=>3.6293038e-6 + 1.7185018/(x0*(x0 - 1*0.15799554)*exp(x0) + 0.32123095))
16,5.322868e-10,(x0 / x0) / (((x0 * ((x0 * exp(x0)) + -0.29985142)) * 0.5512644) + 0.20239437),0.06310121677682426,x0/(x0*(x0*(x0*exp(x0) - 0.29985142)*0.5512644 + 0.20239437)),PySRFunction(X=>x0/(x0*(x0*(x0*exp(x0) - 0.29985142)*0.5512644 + 0.20239437)))
20,5.099226e-10,((1.0283831 / x0) / ((0.5522952 * (x0 * ((x0 * (exp(x0) - -0.024151562)) + -0.2987491))) + 0.20808104)) * x0,0.010730873082489923,1.0283831*x0/(x0*(0.5522952*x0*(x0*(exp(x0) - 1*(-0.024151562)) - 0.2987491) + 0.20808104)),PySRFunction(X=>1.0283831*x0/(x0*(0.5522952*x0*(x0*(exp(x0) - 1*(-0.024151562)) - 0.2987491) + 0.20808104)))
