norm,T,beta_s,n
1251.0141005473674,0.13622419121481988,0.9045750270003102,4.106588266520897
1251.012078277003,0.13622332970455134,0.9046079119468315,4.106119058102376
1251.012385699986,0.13622859623259823,0.9044638634322097,4.106116351149958
1251.0116032757783,0.13622943877739851,0.9044153398084153,4.102940418347799
1251.0113449738865,0.13622660235854708,0.9044616549319522,4.103444216071253
1251.0113420996756,0.1362264993383108,0.9044642273631142,4.1034419593963785
1251.0234166028474,0.13621666148829095,0.9043218897643295,4.095590751212783
1251.0210024960486,0.1362221548221654,0.9043651756578762,4.10023381514482
1251.0435985809236,0.13621931511408744,0.9043620829981891,4.098943402953935
1251.0589270586854,0.13622389742238003,0.9043962480231252,4.100083674293101
1251.0589449193253,0.13621850810568592,0.9043840627940315,4.1000862897240244
1251.0347544668186,0.13621779861500213,0.9044362767883797,4.101107236938627
1251.0214615747377,0.13622128709657166,0.9043577603192954,4.0999024517356
1251.0174719248696,0.13622980240969373,0.9044042784571489,4.101084554108538
1251.0319351371209,0.13621263868418992,0.9044707973572302,4.100400224549293
1251.03195326537,0.1362262881490084,0.904499923412214,4.100402329867221
1251.0319904041764,0.13621077043934213,0.9045048578711185,4.100401160955503
1251.0203849958186,0.13623670324880033,0.9043823043709863,4.103829834505946
1251.0203011636725,0.13622890228210238,0.9044357722013223,4.103826850752349
1251.0268218923457,0.13622300739463006,0.9045254832254921,4.10457729897621
1251.0379441178006,0.13621964342308304,0.9045100400174706,4.10317836941228
1251.0346721962128,0.13622061527174306,0.9044944804630284,4.103403467147742
1251.0424582961518,0.13622597905060516,0.9044714771824522,4.102604356016125
1251.0341218325652,0.13622314953670536,0.904327770206377,4.096709354549492
1251.0339996641349,0.13622247553466812,0.904283483883676,4.096890527490779
1251.0336383365618,0.13621669212000875,0.9044060063230551,4.097477493580042
1251.0163713706918,0.13621648660241253,0.9044003550940783,4.0997644846687455
1251.0013083529436,0.13622440345651815,0.9044524248313055,4.102040132708045
1251.0182652910541,0.13622214665396792,0.9043229848847051,4.09923299629751
1251.018266426749,0.13621961198065324,0.9044160063610643,4.099207319913559
1251.0157055677203,0.1362181339770556,0.9043722414074193,4.098524705134106
1251.0156861329785,0.13622224080739903,0.9043537012391537,4.098523323387581
1251.01760461486,0.13622114073277858,0.9043667381793269,4.099530506588231
1251.0174995120028,0.13621627416301768,0.9044656165838217,4.099525273017168
1251.0125341291762,0.1362205432603664,0.9043092411039325,4.097992672094315
1250.9998174692032,0.13622532839308632,0.9043602222836796,4.099105698234737
1251.0050072080066,0.13622739836895584,0.9042910430276538,4.097418227588727
1250.9774116152466,0.13621910322999503,0.9044200107533289,4.1037004422907355
1250.9774091093404,0.13622865385283178,0.904416643620399,4.103702521766789
1250.9453234504479,0.1362268095006982,0.9044703127258967,4.104358422818932
1250.9463308896786,0.13622409405070443,0.9045448204613721,4.1047996743209865
1250.9460921606849,0.1362237362472829,0.9044843185363326,4.1050332187253415
1250.9460707435674,0.13623262811605416,0.9044959577620589,4.105029174914339
1250.9750294087453,0.1362231513273449,0.9044246902289163,4.10085404583936
1250.9650871462677,0.1362235783989332,0.9043836883287529,4.100286359588776
1250.9666781577494,0.13622084526501765,0.9044070782660176,4.101158694364026
1250.9502231688489,0.1362239922958082,0.9043323725798027,4.097998561242271
1250.9501450001471,0.13622187257351548,0.9044027627089969,4.0979887055352195
1250.9518732130757,0.1362202366240735,0.9043906690057225,4.097741577163583
1250.9769764312484,0.13621994527430062,0.9043917286540603,4.096891651459558
1250.9588504847309,0.1362238412646225,0.9043900121656725,4.097178673839465
1250.9410911037762,0.13624060302807953,0.9043361926328102,4.1029559089720875
1250.9410582832743,0.1362390816869732,0.9043698644975124,4.102959803556184
1250.9390347038247,0.13621980111870813,0.9044350756582639,4.102822968380888
1250.9449733322726,0.13622367548406772,0.9045172132771041,4.103394342794601
1250.9275897111208,0.13623104769076505,0.9044309841037315,4.1025629951079345
1250.9281381524377,0.13622221279731392,0.9043556441871355,4.098438732502916
1250.9528830035408,0.1362223921140463,0.9043739539055187,4.099173844713296
1250.9821925064782,0.13622058956388544,0.9044609513678074,4.103059866334372
1250.9620689705034,0.1362233863042065,0.90445764173373,4.103479149297966
1250.9700274176134,0.13621503147268846,0.9043152829358756,4.097312197778551
1250.9705698866064,0.13621379441619755,0.9043663185650231,4.097139416624097
1250.9558614998657,0.1362236241136712,0.9043595068134979,4.0986888328478654
1250.946434633699,0.1362181107863356,0.9043539637237609,4.097588428166727
1250.9545601679408,0.13622346041293254,0.904401425149786,4.103724011707104
1250.9454313426713,0.13622980571512677,0.9045986499125165,4.105594904128981
1250.942346512812,0.1362283274519809,0.9045670656448188,4.104693874198115
1250.942328341946,0.1362332866419613,0.904491784850787,4.104711822019699
1250.9423322015114,0.13623068852180914,0.9044845907872338,4.104715995921896
1250.9275574380124,0.13623134526629588,0.9043755874235367,4.102018421411216
1250.9293175424048,0.13623012226999995,0.9044602081197832,4.101182244361494
1250.929435683104,0.13621462417155547,0.9044447298912749,4.099701979249922
1250.9294476657044,0.13621912469118994,0.9044369709052272,4.099701698216094
1250.9300627061216,0.1362223779222669,0.9044376233290944,4.102778336028421
1250.9300210979036,0.13623066000669967,0.9044645617898922,4.1027655466416295
1250.9190879465477,0.1362284143054606,0.9044578191829427,4.10106426744011
1250.919085907974,0.1362231852943462,0.9044595490943695,4.101061577226141
1250.9191407887215,0.13622040251701042,0.9044565007281944,4.101068800779778
1250.9201792563838,0.13622566855535556,0.9043411292846117,4.1013357083402875
1250.9112649962776,0.13622019978763453,0.9045221266228305,4.100441095798913
1250.911274448163,0.1362178471167087,0.9045326564058818,4.100438774230247
1250.9124840646225,0.13623119776741188,0.90423695143869,4.098915984041188
1250.9064204917072,0.13622756768936678,0.90419194273186,4.096882190467301
1250.9059770268077,0.13621689880995555,0.904407534952262,4.096870696757383
1250.8730096928243,0.13623461418129804,0.9042764274578136,4.100468482840498
1250.8742614952002,0.1362216104633575,0.9044019462414404,4.10050280099815
1250.8671810651201,0.13623098488789745,0.9044258016665351,4.101204281356955
1250.8660932805699,0.13623541891598961,0.9044137541205034,4.1009941658602305
1250.8638011634894,0.1362338412948248,0.9044021276715593,4.099527799189789
1250.8462178172726,0.13622361174397424,0.9045483756844358,4.103990988568924
1250.824127968802,0.13622270907000608,0.9045076710447312,4.104844062526542
1250.8241563780566,0.13624010282807794,0.9045198882974161,4.104843706372785
1250.8362585597722,0.13622569578067215,0.9044369936123664,4.105592424583816
1250.8603491615447,0.13623559793711743,0.904271062632602,4.0989832344686885
1250.8329429261694,0.13623257314384074,0.904518640232583,4.101708355058132
1250.8310473597485,0.13623163322535048,0.9045033751450023,4.100850859692052
1250.8053657569617,0.13622243693464256,0.9044232232578152,4.102873879998442
1250.8052794654252,0.13622713842077142,0.904462435035032,4.102868192965173
1250.8053792030141,0.13622614906880706,0.9043471446207761,4.098059469720654
1250.8172205784522,0.13622602672905415,0.9044060203097625,4.1007991374707045
1250.7872811564541,0.13623093296347077,0.9044277730870025,4.102765635359748
1250.7823318263634,0.13622225182935538,0.9044519376708849,4.100944875428308
1250.7493755948262,0.13623049760665412,0.9043578639596036,4.096570843808692
1250.749377069154,0.13622386679353748,0.9043553151842563,4.096569077330372
1250.725988628213,0.13622829962087007,0.9042458078475917,4.096919320047548
1250.7272591455255,0.13622547087849815,0.9042430259744821,4.095505428975801
1250.7272985645707,0.13623615829518018,0.9042438639659299,4.095504141599743
1250.730674201908,0.13623529300410192,0.904507865931419,4.105224621921745
1250.7306757614974,0.13624437498332106,0.904512278697315,4.10522596794461
1250.7345956223244,0.13624286573049424,0.9044948876761496,4.104101030046349
1250.729144051299,0.13623297507399848,0.9044187975160023,4.099596871136621
