group_label,model_name,parameter_left,parameter_right,correlation
31-40,juttner_powerlaw,U_1,temperature_1,-0.02987458638661626
31-40,juttner_powerlaw,U_1,U_1,1.0
31-40,juttner_powerlaw,U_1,norm_2,0.004254158951263368
31-40,juttner_powerlaw,U_1,p0_2,-0.0035418330822259056
31-40,juttner_powerlaw,U_1,n_2,-0.0029554254519564404
31-40,juttner_powerlaw,norm_2,norm_1,0.015616955622772705
31-40,juttner_powerlaw,norm_2,temperature_1,-0.4736429341582353
31-40,juttner_powerlaw,norm_2,U_1,0.004254158951263368
31-40,juttner_powerlaw,norm_2,norm_2,0.9999999999999999
31-40,juttner_powerlaw,norm_2,p0_2,-0.9496200750863326
31-40,juttner_powerlaw,norm_2,n_2,-0.8639918231317296
31-40,juttner_powerlaw,p0_2,norm_1,0.05067144970528519
31-40,juttner_powerlaw,p0_2,temperature_1,0.36687506754710636
31-40,juttner_powerlaw,p0_2,U_1,-0.0035418330822259056
31-40,juttner_powerlaw,p0_2,norm_2,-0.9496200750863326
31-40,juttner_powerlaw,p0_2,p0_2,1.0000000000000002
31-40,juttner_powerlaw,p0_2,n_2,0.974553120986216
31-40,juttner_powerlaw,n_2,norm_1,0.07998581102045524
31-40,juttner_powerlaw,n_2,temperature_1,0.290211125888974
31-40,juttner_powerlaw,n_2,U_1,-0.0029554254519564404
31-40,juttner_powerlaw,n_2,norm_2,-0.8639918231317296
31-40,juttner_powerlaw,n_2,p0_2,0.974553120986216
31-40,juttner_powerlaw,n_2,n_2,0.9999999999999998
41-50,juttner_powerlaw,norm_1,norm_1,1.0
41-50,juttner_powerlaw,norm_1,temperature_1,-0.9344371297383338
41-50,juttner_powerlaw,norm_1,U_1,0.11981478988636393
41-50,juttner_powerlaw,norm_1,norm_2,0.2918054039481489
41-50,juttner_powerlaw,norm_1,p0_2,-0.20034474056383927
41-50,juttner_powerlaw,norm_1,n_2,-0.14678655874242305
41-50,juttner_powerlaw,temperature_1,norm_1,-0.9344371297383338
41-50,juttner_powerlaw,temperature_1,temperature_1,1.0000000000000002
41-50,juttner_powerlaw,temperature_1,U_1,-0.03774085485185367
41-50,juttner_powerlaw,temperature_1,norm_2,-0.5565736650589259
41-50,juttner_powerlaw,temperature_1,p0_2,0.4435063865399587
41-50,juttner_powerlaw,temperature_1,n_2,0.3649215216568384
41-50,juttner_powerlaw,U_1,norm_1,0.11981478988636393
41-50,juttner_powerlaw,U_1,temperature_1,-0.03774085485185367
41-50,juttner_powerlaw,U_1,U_1,1.0
41-50,juttner_powerlaw,U_1,norm_2,0.0015221216954607133
41-50,juttner_powerlaw,U_1,p0_2,-0.0013119466404362063
41-50,juttner_powerlaw,U_1,n_2,-0.0011325482405512616
41-50,juttner_powerlaw,norm_2,norm_1,0.2918054039481489
41-50,juttner_powerlaw,norm_2,temperature_1,-0.5565736650589259
41-50,juttner_powerlaw,norm_2,U_1,0.0015221216954607133
41-50,juttner_powerlaw,norm_2,norm_2,0.9999999999999999
41-50,juttner_powerlaw,norm_2,p0_2,-0.9449678850534305
41-50,juttner_powerlaw,norm_2,n_2,-0.8619832422609265
41-50,juttner_powerlaw,p0_2,norm_1,-0.20034474056383927
41-50,juttner_powerlaw,p0_2,temperature_1,0.4435063865399587
41-50,juttner_powerlaw,p0_2,U_1,-0.0013119466404362063
41-50,juttner_powerlaw,p0_2,norm_2,-0.9449678850534305
41-50,juttner_powerlaw,p0_2,p0_2,1.0000000000000002
41-50,juttner_powerlaw,p0_2,n_2,0.9766927611239086
41-50,juttner_powerlaw,n_2,norm_1,-0.14678655874242305
41-50,juttner_powerlaw,n_2,temperature_1,0.3649215216568384
41-50,juttner_powerlaw,n_2,U_1,-0.0011325482405512616
41-50,juttner_powerlaw,n_2,norm_2,-0.8619832422609265
41-50,juttner_powerlaw,n_2,p0_2,0.9766927611239086
41-50,juttner_powerlaw,n_2,n_2,1.0
61-70,juttner_powerlaw,norm_1,norm_1,1.0
61-70,juttner_powerlaw,norm_1,temperature_1,-0.9872039988070133
61-70,juttner_powerlaw,norm_1,U_1,0.9983864775977648
61-70,juttner_powerlaw,norm_1,norm_2,-0.2115482378811265
61-70,juttner_powerlaw,norm_1,p0_2,0.16063946279929278
61-70,juttner_powerlaw,norm_1,n_2,0.13120370064224413
61-70,juttner_powerlaw,temperature_1,norm_1,-0.9872039988070133
61-70,juttner_powerlaw,temperature_1,temperature_1,1.0
61-70,juttner_powerlaw,temperature_1,U_1,-0.9773664869453933
61-70,juttner_powerlaw,temperature_1,norm_2,0.1037541480208802
61-70,juttner_powerlaw,temperature_1,p0_2,-0.07156004296061587
61-70,juttner_powerlaw,temperature_1,n_2,-0.05481113827291971
61-70,juttner_powerlaw,U_1,norm_1,0.9983864775977648
61-70,juttner_powerlaw,U_1,temperature_1,-0.9773664869453933
61-70,juttner_powerlaw,U_1,U_1,1.0
61-70,juttner_powerlaw,U_1,norm_2,-0.23277015032943657
61-70,juttner_powerlaw,U_1,p0_2,0.17632783057431833
61-70,juttner_powerlaw,U_1,n_2,0.143746484153819
61-70,juttner_powerlaw,norm_2,norm_1,-0.2115482378811265
61-70,juttner_powerlaw,norm_2,temperature_1,0.1037541480208802
61-70,juttner_powerlaw,norm_2,U_1,-0.23277015032943657
61-70,juttner_powerlaw,norm_2,norm_2,0.9999999999999998
61-70,juttner_powerlaw,norm_2,p0_2,-0.9463562453553833
61-70,juttner_powerlaw,norm_2,n_2,-0.8718947102916617
61-70,juttner_powerlaw,p0_2,norm_1,0.16063946279929278
61-70,juttner_powerlaw,p0_2,temperature_1,-0.07156004296061587
61-70,juttner_powerlaw,p0_2,U_1,0.17632783057431833
61-70,juttner_powerlaw,p0_2,norm_2,-0.9463562453553833
61-70,juttner_powerlaw,p0_2,p0_2,1.0
61-70,juttner_powerlaw,p0_2,n_2,0.9799475953754574
61-70,juttner_powerlaw,n_2,norm_1,0.13120370064224413
61-70,juttner_powerlaw,n_2,temperature_1,-0.05481113827291971
61-70,juttner_powerlaw,n_2,U_1,0.143746484153819
61-70,juttner_powerlaw,n_2,norm_2,-0.8718947102916617
61-70,juttner_powerlaw,n_2,p0_2,0.9799475953754574
61-70,juttner_powerlaw,n_2,n_2,1.0
71-80,juttner_powerlaw,norm_1,norm_1,1.0000000000000002
71-80,juttner_powerlaw,norm_1,temperature_1,-0.3419323882755145
71-80,juttner_powerlaw,norm_1,U_1,0.9871181796839095
71-80,juttner_powerlaw,norm_1,norm_2,0.03893681560103545
71-80,juttner_powerlaw,norm_1,p0_2,-0.029387723319668584
71-80,juttner_powerlaw,norm_1,n_2,-0.023993315226489564
71-80,juttner_powerlaw,temperature_1,norm_1,-0.3419323882755145
71-80,juttner_powerlaw,temperature_1,temperature_1,1.0000000000000002
71-80,juttner_powerlaw,temperature_1,U_1,-0.19355967742238744
71-80,juttner_powerlaw,temperature_1,norm_2,-0.6000721051942951
71-80,juttner_powerlaw,temperature_1,p0_2,0.4851706245236874
71-80,juttner_powerlaw,temperature_1,n_2,0.4132203756737024
71-80,juttner_powerlaw,U_1,norm_1,0.9871181796839095
71-80,juttner_powerlaw,U_1,temperature_1,-0.19355967742238744
71-80,juttner_powerlaw,U_1,U_1,1.0
71-80,juttner_powerlaw,U_1,norm_2,-0.029430837111197716
71-80,juttner_powerlaw,U_1,p0_2,0.02187763315025899
71-80,juttner_powerlaw,U_1,n_2,0.017726679937991298
71-80,juttner_powerlaw,norm_2,norm_1,0.03893681560103545
71-80,juttner_powerlaw,norm_2,temperature_1,-0.6000721051942951
71-80,juttner_powerlaw,norm_2,U_1,-0.029430837111197716
71-80,juttner_powerlaw,norm_2,norm_2,1.0
71-80,juttner_powerlaw,norm_2,p0_2,-0.9458936583954638
71-80,juttner_powerlaw,norm_2,n_2,-0.8734589811862329
71-80,juttner_powerlaw,p0_2,norm_1,-0.029387723319668584
71-80,juttner_powerlaw,p0_2,temperature_1,0.4851706245236874
71-80,juttner_powerlaw,p0_2,U_1,0.02187763315025899
71-80,juttner_powerlaw,p0_2,norm_2,-0.9458936583954638
71-80,juttner_powerlaw,p0_2,p0_2,1.0000000000000002
71-80,juttner_powerlaw,p0_2,n_2,0.9808844066515194
71-80,juttner_powerlaw,n_2,norm_1,-0.023993315226489564
71-80,juttner_powerlaw,n_2,temperature_1,0.4132203756737024
71-80,juttner_powerlaw,n_2,U_1,0.017726679937991298
71-80,juttner_powerlaw,n_2,norm_2,-0.8734589811862329
71-80,juttner_powerlaw,n_2,p0_2,0.9808844066515194
71-80,juttner_powerlaw,n_2,n_2,1.0000000000000002
81-90,juttner_powerlaw,norm_1,norm_1,1.0
81-90,juttner_powerlaw,norm_1,temperature_1,-0.0038734124043417243
81-90,juttner_powerlaw,norm_1,U_1,4.091200617295967e-05
81-90,juttner_powerlaw,norm_1,norm_2,5.126846263699999e-05
81-90,juttner_powerlaw,norm_1,p0_2,0.0002110241937922132
81-90,juttner_powerlaw,norm_1,n_2,0.00020203480242275492
81-90,juttner_powerlaw,temperature_1,norm_1,-0.0038734124043417243
81-90,juttner_powerlaw,temperature_1,temperature_1,1.0
81-90,juttner_powerlaw,temperature_1,U_1,0.1464955840245975
81-90,juttner_powerlaw,temperature_1,norm_2,-0.21766726856749477
81-90,juttner_powerlaw,temperature_1,p0_2,-0.19076437069267363
81-90,juttner_powerlaw,temperature_1,n_2,-0.20380608588931964
81-90,juttner_powerlaw,U_1,norm_1,4.091200617295967e-05
81-90,juttner_powerlaw,U_1,temperature_1,0.1464955840245975
81-90,juttner_powerlaw,U_1,U_1,1.0
81-90,juttner_powerlaw,U_1,norm_2,-0.003007923284772717
81-90,juttner_powerlaw,U_1,p0_2,-0.012249897633770062
81-90,juttner_powerlaw,U_1,n_2,-0.011729111559479977
81-90,juttner_powerlaw,norm_2,norm_1,5.126846263699999e-05
81-90,juttner_powerlaw,norm_2,temperature_1,-0.21766726856749477
81-90,juttner_powerlaw,norm_2,U_1,-0.003007923284772717
81-90,juttner_powerlaw,norm_2,norm_2,1.0
81-90,juttner_powerlaw,norm_2,p0_2,-0.38666183861205966
81-90,juttner_powerlaw,norm_2,n_2,-0.2546976957995772
81-90,juttner_powerlaw,p0_2,norm_1,0.0002110241937922132
81-90,juttner_powerlaw,p0_2,temperature_1,-0.19076437069267363
81-90,juttner_powerlaw,p0_2,U_1,-0.012249897633770062
81-90,juttner_powerlaw,p0_2,norm_2,-0.38666183861205966
81-90,juttner_powerlaw,p0_2,p0_2,1.0
81-90,juttner_powerlaw,p0_2,n_2,0.9717496932669148
81-90,juttner_powerlaw,n_2,norm_1,0.00020203480242275492
81-90,juttner_powerlaw,n_2,temperature_1,-0.20380608588931964
81-90,juttner_powerlaw,n_2,U_1,-0.011729111559479977
81-90,juttner_powerlaw,n_2,norm_2,-0.2546976957995772
81-90,juttner_powerlaw,n_2,p0_2,0.9717496932669148
81-90,juttner_powerlaw,n_2,n_2,1.0000000000000002
91-100,juttner_powerlaw,norm_1,norm_1,1.0000000000000002
91-100,juttner_powerlaw,norm_1,temperature_1,0.19047979999318365
91-100,juttner_powerlaw,norm_1,U_1,0.9858339452554538
91-100,juttner_powerlaw,norm_1,norm_2,0.04366189860490581
91-100,juttner_powerlaw,norm_1,p0_2,-0.03232365988403211
91-100,juttner_powerlaw,norm_1,n_2,-0.026319945879310948
91-100,juttner_powerlaw,temperature_1,norm_1,0.19047979999318365
91-100,juttner_powerlaw,temperature_1,temperature_1,0.9999999999999999
91-100,juttner_powerlaw,temperature_1,U_1,0.3465358507836067
