group_label,model_name,parameter_name,value,error
101-125,juttner_powerlaw,norm_1,19514.226023873605,19515.22597142391
101-125,juttner_powerlaw,temperature_1,0.07077284682848253,0.004935162179461404
101-125,juttner_powerlaw,U_1,0.6945921044190079,1.0113691051695373
101-125,juttner_powerlaw,norm_2,420.81228987019733,18.274830100694942
101-125,juttner_powerlaw,p0_2,1.6558822005920197,0.05371962384773621
101-125,juttner_powerlaw,n_2,6.962730889494248,0.09465810347989878
21-30,juttner_powerlaw,norm_1,16.79188917030957,16.597166741033632
21-30,juttner_powerlaw,temperature_1,0.4050492604368703,0.09492078930602829
21-30,juttner_powerlaw,U_1,2.9945149810137375,2.9971416000613553
21-30,juttner_powerlaw,norm_2,103.22557908067252,10.725557934167632
21-30,juttner_powerlaw,p0_2,0.9417766113665361,0.052239910343567286
21-30,juttner_powerlaw,n_2,7.164557897864901,0.1253135024240315
31-40,juttner_powerlaw,norm_1,682.7306845067146,631.1033217837919
31-40,juttner_powerlaw,temperature_1,0.07044874233294812,0.016697629390000752
31-40,juttner_powerlaw,U_1,0.0017163170138384406,2.1467378583596175
31-40,juttner_powerlaw,norm_2,201.5187800035262,9.990511245583662
31-40,juttner_powerlaw,p0_2,1.2044397908450426,0.030867250797555146
31-40,juttner_powerlaw,n_2,7.2385384515611575,0.06250699447659702
41-50,juttner_powerlaw,norm_1,2958.63651744807,1665.438911195386
41-50,juttner_powerlaw,temperature_1,0.06563836441076146,0.009269655784467944
41-50,juttner_powerlaw,U_1,0.016124144177187036,2.4131405486825894
41-50,juttner_powerlaw,norm_2,246.3750978198084,11.284134106384926
41-50,juttner_powerlaw,p0_2,1.3298458498390326,0.03464287521368725
41-50,juttner_powerlaw,n_2,7.180629217977807,0.06683547570204018
61-70,juttner_powerlaw,norm_1,6812.578597865,29448.77318379959
61-70,juttner_powerlaw,temperature_1,0.06647788936008464,0.024360126308496058
61-70,juttner_powerlaw,U_1,0.13213335691637346,2.8608233741327984
61-70,juttner_powerlaw,norm_2,319.17470284890635,12.11795614374347
61-70,juttner_powerlaw,p0_2,1.4727692486769162,0.035642340315238163
61-70,juttner_powerlaw,n_2,7.098508553275702,0.06530494594553238
71-80,juttner_powerlaw,norm_1,12673.466861870496,12674.466807660338
71-80,juttner_powerlaw,temperature_1,0.06626387898082763,0.005070735108976637
71-80,juttner_powerlaw,U_1,0.5960903729399548,1.7468007488890487
71-80,juttner_powerlaw,norm_2,349.5288941564165,13.182897070149949
71-80,juttner_powerlaw,p0_2,1.5218833934814298,0.03826548383761197
71-80,juttner_powerlaw,n_2,7.061451994792329,0.06918123948208033
81-90,juttner_powerlaw,norm_1,9641.207048426824,1.9491775651349599
81-90,juttner_powerlaw,temperature_1,0.06814073843468299,0.0007829293828755801
81-90,juttner_powerlaw,U_1,0.011684461593340165,2.653979791546931
81-90,juttner_powerlaw,norm_2,376.79147723058793,1.9285858502958888
81-90,juttner_powerlaw,p0_2,1.5634790270547783,0.01424747904037249
81-90,juttner_powerlaw,n_2,7.025767932114309,0.03670998255711355
91-100,juttner_powerlaw,norm_1,16645.417077150974,16646.41702433538
91-100,juttner_powerlaw,temperature_1,0.07047893333462402,0.004891059936517526
91-100,juttner_powerlaw,U_1,0.6826297927920023,1.8411793710125637
91-100,juttner_powerlaw,norm_2,389.84796291297795,16.36739905026087
91-100,juttner_powerlaw,p0_2,1.619239192969888,0.04881944391207427
91-100,juttner_powerlaw,n_2,7.000545973810252,0.0864343777386436
