pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,51.84,1.2904387819652663,46.49377560088285,5.346224399117155,4.142950811641876
0.225,49.92,1.230351774900171,47.91248921746171,2.00751078253829,1.6316559405956697
0.275,46.93,1.159885959911577,46.8250509770062,0.10494902299380016,0.09048219102660822
0.3249999999999999,43.44,1.077646161780387,44.371138519347255,-0.9311385193472574,-0.8640484719111483
0.375,39.71,0.988743940562975,41.259704382174064,-1.5497043821740633,-1.5673465278499572
0.425,36.45,0.9116366491097206,37.915353462554535,-1.465353462554532,-1.6073876187245828
0.475,33.05,0.8318144624854753,34.58511772393462,-1.5351177239346256,-1.8455049691582286
0.525,30.23,0.7659622053339186,31.40679782679571,-1.1767978267957098,-1.5363653958391965
0.575,27.49,0.7028726282905032,28.451275048960277,-0.9612750489602782,-1.3676376206287193
0.625,25.05,0.6452223143227457,25.748668311123726,-0.6986683111237255,-1.0828334600564444
0.675,22.87,0.5951105501501381,23.304633700591676,-0.43463370059167517,-0.7303411113817813
0.725,21.0,0.5527723011331158,21.11060181060298,-0.11060181060297936,-0.20008565982097715
0.775,19.3,0.5133333906926374,19.150228639105734,0.1497713608942668,0.29176235875126155
0.825,17.75,0.4762950698884043,17.403444620293705,0.34655537970629524,0.727606480973009
0.875,16.46,0.447518186110911,15.848961892580796,0.6110381074192048,1.3653927960544776
0.925,15.05,0.4178356883991601,14.465785202407485,0.5842147975925158,1.3981926719347466
0.975,13.74,0.3849028599530016,13.234078291286412,0.5059217087135881,1.3144140024715936
1.05,12.28,0.4416268805224609,11.631145957412405,0.6488540425875939,1.469235844113419
1.15,10.51,0.385890674284829,9.869079054481338,0.640920945518662,1.6608873658490984
1.25,8.982,0.3406110815871967,8.442812217807756,0.5391877821922435,1.5830012919124916
1.35,7.757,0.2945326000632188,7.273888054964757,0.483111945035243,1.6402664592359126
1.45,6.568,0.26259980883466,6.303664822061044,0.264335177938956,1.0066084172414178
1.55,5.79,0.2318178327911811,5.488648694182364,0.3013513058176365,1.2999487666209457
1.65,4.857,0.2072935071342081,4.796604161905017,0.06039583809498339,0.29135422006190137
1.75,4.239,0.1812074877040129,4.203523331707605,0.03547666829239482,0.19577926244605828
1.85,3.651,0.1744088633068858,3.691354993654518,-0.040354993654518,-0.23138155303214317
1.95,3.188,0.1526150464403821,3.2463445565983613,-0.05834455659836113,-0.3822988490270059
2.1,2.57,0.122245010123113,2.6820825694910435,-0.11208256949104367,-0.9168682580840336
2.3,1.95,0.0930040310954315,2.0826301153731865,-0.13263011537318659,-1.426068459732619
2.5,1.468,0.0704131642521481,1.6177580117059782,-0.14975801170597824,-2.126846780663029
2.7,1.16,0.055623529194038,1.2559877019450463,-0.09598770194504636,-1.7256672371542865
2.9,0.8921,0.0434828612329041,0.9741768783953221,-0.08207687839532207,-1.8875684825729298
3.1,0.7005,0.0340135608397591,0.7547361703272846,-0.05423617032728456,-1.5945454985673497
3.3,0.5415,0.0265055942208432,0.5840415073897756,-0.04254150738977558,-1.6050010814819697
3.5,0.434,0.021436128964904,0.4514415077668625,-0.017441507766862485,-0.8136500669229201
3.7,0.3436,0.0173681622804486,0.34857897049003045,-0.004978970490030432,-0.28667226904226223
3.9,0.2719,0.0139301839542771,0.26889382267087686,0.0030061773291231164,0.21580313217616232
4.25,0.195,0.0095569326669177,0.17038211201991088,0.024617887980089126,2.575919370584922
4.75,0.1186,0.0059543924123289,0.08844665872136122,0.03015334127863878,5.064050064319679
