group_label,model_name,component_count,success,chi2,ndf,chi2_ndf,fit_quality_flag,gate_passed,gate_failures,aic,bic,edm,has_accurate_covar,seed_index
31-40,tsallis,1,True,126.06455209229237,36,3.501793113674788,ok,True,,132.0645520922924,137.05523703068133,7.410182027437069e-07,True,8
31-40,manuscript_juttner,2,False,74.02314838568861,33,2.2431257086572307,ok,False,Minuit did not converge (valid=False),86.02314838568861,96.00451826246649,0.014513474427486983,True,6
31-40,exact_bose_einstein,2,False,29.622542348763297,33,0.8976527984473727,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,41.6225423487633,51.60391222554117,0.005001027115931044,False,3
31-40,tsallis,2,True,0.6498361518488246,33,0.019692004601479532,ok,True,,12.649836151848824,22.6312060286267,0.00010992767051746598,True,4
31-40,manuscript_juttner,3,False,1.0499492336090848,30,0.03499830778696949,poor,False,Minuit did not converge (valid=False); Unconstrained parameters: norm_1: |err/val|=1.03 > 1.0; U_1: |err/val|=1.94 > 1.0; U_2: |err/val|=1.15 > 1.0; U_3: |err/val|=1.59 > 1.0,19.049949233609084,34.0220040487759,0.00592214683323394,True,6
31-40,exact_bose_einstein,3,False,1.287768938464507,30,0.04292563128215023,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,19.287768938464506,34.25982375363132,0.0032982970331179185,False,6
31-40,tsallis,3,True,0.37292246352314207,30,0.012430748784104736,ok,False,Minuit covariance matrix is not accurate,18.372922463523143,33.34497727868995,6.234030148142763e-05,False,1
41-50,manuscript_juttner,1,True,1954.5023948197904,36,54.291733189438624,poor,False,chi2/ndf = 54.292 exceeds max 5.0,1960.5023948197904,1965.4930797581794,9.269860756912367e-06,True,8
41-50,exact_bose_einstein,1,True,1047.258620291389,36,29.09051723031636,poor,False,chi2/ndf = 29.091 exceeds max 5.0,1053.258620291389,1058.249305229778,1.4926621486428102e-07,True,9
41-50,tsallis,1,True,189.70166179143706,36,5.269490605317696,poor,False,chi2/ndf = 5.269 exceeds max 5.0,195.70166179143706,200.692346729826,3.036444604937628e-07,True,5
41-50,manuscript_juttner,2,False,79.94642058209485,33,2.4226188055180256,ok,False,Minuit did not converge (valid=False); EDM = 0.1271 exceeds threshold 0.1; fit may not be at minimum,91.94642058209485,101.92779045887272,0.1271142194985707,True,8
41-50,exact_bose_einstein,2,True,32.96551521847897,33,0.9989550066205748,ok,False,Minuit covariance matrix is not accurate,44.96551521847897,54.946885095256846,0.001346935988982213,False,2
41-50,tsallis,2,True,0.8361934422592272,33,0.02533919521997658,poor,False,Unconstrained parameters: norm_1: |err/val|=1.00 > 1.0,12.836193442259226,22.817563319037102,0.00011655266425830441,True,2
41-50,manuscript_juttner,3,False,1.2481170608372087,30,0.04160390202790696,poor,False,Minuit did not converge (valid=False); Unconstrained parameters: U_3: |err/val|=1.15 > 1.0,19.24811706083721,34.220171876004024,0.00969338808178577,True,2
41-50,exact_bose_einstein,3,False,0.8206438481634224,30,0.027354794938780746,poor,False,Minuit did not converge (valid=False); Unconstrained parameters: U_2: |err/val|=485.65 > 1.0,18.82064384816342,33.792698663330235,0.01753264368846469,True,7
41-50,tsallis,3,True,0.4761369445535637,30,0.01587123148511879,ok,False,Minuit covariance matrix is not accurate,18.476136944553563,33.44819175972038,8.859026294950492e-05,False,1
51-60,manuscript_juttner,1,True,1822.1272713940857,36,50.61464642761349,poor,False,chi2/ndf = 50.615 exceeds max 5.0,1828.1272713940857,1833.1179563324747,1.7647430532087026e-06,True,5
51-60,exact_bose_einstein,1,True,898.5868974566812,36,24.960747151574477,poor,False,chi2/ndf = 24.961 exceeds max 5.0,904.5868974566812,909.5775823950701,1.1383104835284716e-05,True,3
51-60,tsallis,1,True,221.5891619270971,36,6.155254497974919,poor,False,chi2/ndf = 6.155 exceeds max 5.0,227.5891619270971,232.57984686548605,4.509352674151855e-07,True,3
51-60,manuscript_juttner,2,False,79.81749196899798,33,2.418711877848424,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,91.81749196899798,101.79886184577586,0.014463896700139561,False,8
51-60,exact_bose_einstein,2,True,35.12636168195156,33,1.0644352024833805,ok,False,Minuit covariance matrix is not accurate,47.12636168195156,57.107731558729434,0.001511307356408624,False,3
51-60,tsallis,2,True,0.5866516738597739,33,0.01777732345029618,ok,True,,12.586651673859773,22.56802155063765,0.00011542582057498887,True,1
51-60,manuscript_juttner,3,True,1.600087168719494,30,0.05333623895731646,ok,False,Minuit covariance matrix is not accurate,19.600087168719494,34.57214198388631,0.0012237842460259385,False,6
51-60,exact_bose_einstein,3,False,0.9455901930701728,30,0.031519673102339094,poor,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate; Unconstrained parameters: U_1: |err/val|=55.27 > 1.0; U_2: |err/val|=2.51 > 1.0,18.945590193070174,33.91764500823699,0.012016093090969408,False,7
51-60,tsallis,3,True,0.9697982573500522,30,0.032326608578335074,poor,False,Unconstrained parameters: temperature_3: |err/val|=94.21 > 1.0,18.969798257350053,33.941853072516864,0.000153825725407677,True,2
61-70,manuscript_juttner,1,True,2691.6448819957195,36,74.76791338876998,poor,False,chi2/ndf = 74.768 exceeds max 5.0,2697.6448819957195,2702.6355669341083,1.138339927182702e-06,True,9
61-70,exact_bose_einstein,1,True,1214.1452885806152,36,33.7262580161282,poor,False,chi2/ndf = 33.726 exceeds max 5.0,1220.1452885806152,1225.1359735190042,2.696753292493232e-06,True,2
61-70,tsallis,1,True,381.1931938488227,36,10.588699829133965,poor,False,chi2/ndf = 10.589 exceeds max 5.0,387.1931938488227,392.18387878721165,1.1433052044827027e-08,True,9
61-70,manuscript_juttner,2,False,118.29288746584078,33,3.5846329535103267,ok,False,Minuit did not converge (valid=False); EDM = 0.2443 exceeds threshold 0.1; fit may not be at minimum,130.29288746584078,140.27425734261865,0.2442541765615042,True,8
61-70,exact_bose_einstein,2,False,54.08028858934077,33,1.6387966239194172,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,66.08028858934077,76.06165846611864,0.014402561235762584,False,1
61-70,tsallis,2,True,1.2846496759982902,33,0.038928778060554246,ok,True,,13.28464967599829,23.266019552776164,0.00025940039064820683,True,1
61-70,manuscript_juttner,3,False,2.7851681125520975,30,0.09283893708506992,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,20.785168112552096,35.757222927718914,0.006342078757311393,False,6
61-70,exact_bose_einstein,3,False,1.3806957956858246,30,0.04602319318952749,ok,False,Minuit did not converge (valid=False); EDM = 0.1878 exceeds threshold 0.1; fit may not be at minimum,19.380695795685824,34.35275061085264,0.18784111082449212,True,6
61-70,tsallis,3,False,0.7342132494602128,30,0.024473774982007094,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,18.73421324946021,33.706268064627025,0.0030265250169646844,False,1
71-80,manuscript_juttner,1,True,2604.814577870229,36,72.35596049639526,poor,False,chi2/ndf = 72.356 exceeds max 5.0,2610.814577870229,2615.805262808618,3.706783361665833e-06,True,4
