group_label,model_name,component_count,parameter_name,value,error
101-125,manuscript_juttner,1,norm_1,224.30156723351936,3.433720160576712
101-125,manuscript_juttner,1,temperature_1,0.8697425531262849,0.005004975741771722
101-125,manuscript_juttner,1,U_1,2.9999999993404316,0.011568897000650225
101-125,exact_bose_einstein,1,norm_1,135.517638187878,1.985692644142361
101-125,exact_bose_einstein,1,temperature_1,0.9876890822086775,0.005168045711466451
101-125,exact_bose_einstein,1,U_1,2.999999997617142,0.03505627083629537
101-125,tsallis,1,norm_1,5847.018347635401,255.30619908248855
101-125,tsallis,1,temperature_1,0.11186248903092105,0.0017293150051397102
101-125,tsallis,1,q_1,1.2010054427957435,0.0017805464573047436
101-125,manuscript_juttner,2,norm_1,63.58725656833384,4.567027460679778
101-125,manuscript_juttner,2,temperature_1,1.0916197783775052,0.11640371682450001
101-125,manuscript_juttner,2,U_1,2.7093038171342014,0.39225267027371213
101-125,manuscript_juttner,2,norm_2,796.6666676675037,44.77713503505595
101-125,manuscript_juttner,2,temperature_2,0.39235121510223087,0.026060738312043447
101-125,manuscript_juttner,2,U_2,2.9472873265028405,0.2323541283098114
101-125,exact_bose_einstein,2,norm_1,23.18747654406943,8.6796757711281
101-125,exact_bose_einstein,2,temperature_1,0.7498833265918674,0.030422188553172747
101-125,exact_bose_einstein,2,U_1,0.7682004151084846,0.46515991420412084
101-125,exact_bose_einstein,2,norm_2,330.9974891241415,36.26937288926777
101-125,exact_bose_einstein,2,temperature_2,0.5146122658826933,0.17458553414374242
101-125,exact_bose_einstein,2,U_2,2.8593790318974768,2.7590482593321792
101-125,tsallis,2,norm_1,2.4435160063916717e-07,2.89555418227447
101-125,tsallis,2,temperature_1,0.11555674120667049,0.752659843434757
101-125,tsallis,2,q_1,1.5964590290274063,0.7747492895783917
101-125,tsallis,2,norm_2,5846.695003986959,13.964074873539175
101-125,tsallis,2,temperature_2,0.11186481708243247,7.355313294742788e-05
101-125,tsallis,2,q_2,1.2010028793221217,0.00022573080667009915
101-125,manuscript_juttner,3,norm_1,11.301471272239933,0.7395198651436372
101-125,manuscript_juttner,3,temperature_1,1.2435997101134826,0.017289900254957358
101-125,manuscript_juttner,3,U_1,2.078198367795754,0.04431895415442266
101-125,manuscript_juttner,3,norm_2,218.21177113193605,8.95282763927527
101-125,manuscript_juttner,3,temperature_2,0.7466134788433302,0.016131562315030212
101-125,manuscript_juttner,3,U_2,2.9999994808846933,2.6545712614295462
101-125,manuscript_juttner,3,norm_3,1489.5176374375321,106.63221561082958
101-125,manuscript_juttner,3,temperature_3,0.1498324267922049,0.0036340272938260587
101-125,manuscript_juttner,3,U_3,1.554052468113006,0.068317258629771
101-125,exact_bose_einstein,3,norm_1,4.844137841668127,1.8996147455548194
101-125,exact_bose_einstein,3,temperature_1,1.0397803980192595,0.18562464069108758
101-125,exact_bose_einstein,3,U_1,0.978371475160309,0.7328805440117554
101-125,exact_bose_einstein,3,norm_2,324.06588959494246,1.9623146098122959
101-125,exact_bose_einstein,3,temperature_2,0.12969155393991444,0.004865983147599083
101-125,exact_bose_einstein,3,U_2,0.007115250187141614,2.49665727559095
101-125,exact_bose_einstein,3,norm_3,138.39518239508533,1.9550721781314735
101-125,exact_bose_einstein,3,temperature_3,0.6181337198872074,0.11197901493187473
101-125,exact_bose_einstein,3,U_3,1.916965784449216,0.4876629939279601
101-125,tsallis,3,norm_1,20.285053416316362,6.741613522267219
101-125,tsallis,3,temperature_1,0.40904644448326755,0.03015904297353017
101-125,tsallis,3,q_1,1.0325283832606111,0.021966951049047556
101-125,tsallis,3,norm_2,41354.25094058444,3729.1102126883634
101-125,tsallis,3,temperature_2,0.04905995351670345,0.001557986396271905
101-125,tsallis,3,q_2,1.2109461478866932,0.011870485542315512
101-125,tsallis,3,norm_3,689.2409236532045,61.71182737824756
101-125,tsallis,3,temperature_3,0.18930820313334248,0.004658467745316919
101-125,tsallis,3,q_3,1.1541741925109268,0.0053872138000770065
126-150,manuscript_juttner,1,norm_1,284.628887619807,5.2560861851278275
126-150,manuscript_juttner,1,temperature_1,0.8563310966183971,0.006289629768561178
126-150,manuscript_juttner,1,U_1,2.999999874873717,0.01669067169792804
126-150,exact_bose_einstein,1,norm_1,160.9099596626095,2.9071099673474805
126-150,exact_bose_einstein,1,temperature_1,0.9991534270485919,0.006858597525660037
126-150,exact_bose_einstein,1,U_1,2.999999721729135,0.05297095424727516
126-150,tsallis,1,norm_1,7543.110050314877,392.5837714054278
126-150,tsallis,1,temperature_1,0.10754861828685891,0.0020370727081457096
126-150,tsallis,1,q_1,1.2144081274867045,0.0022985796594102714
126-150,manuscript_juttner,2,norm_1,1017.4205306952784,72.78148108757819
126-150,manuscript_juttner,2,temperature_1,0.3672203716730265,0.02904134179605189
126-150,manuscript_juttner,2,U_1,2.911403326419513,0.2540312207048143
126-150,manuscript_juttner,2,norm_2,83.50202026098589,5.8690588892403
126-150,manuscript_juttner,2,temperature_2,1.1332962071813175,0.06641450119875858
126-150,manuscript_juttner,2,U_2,2.8198663014062344,0.21472880819084073
126-150,exact_bose_einstein,2,norm_1,398.64850272985404,77.57553792818823
126-150,exact_bose_einstein,2,temperature_1,0.3763214369500085,0.13768870187555993
126-150,exact_bose_einstein,2,U_1,2.1676228563566853,1.064012089308343
126-150,exact_bose_einstein,2,norm_2,45.0598300478416,20.861440102043247
126-150,exact_bose_einstein,2,temperature_2,0.8055554513240843,0.17481153484368012
126-150,exact_bose_einstein,2,U_2,1.2840768350930651,0.9390513064397473
126-150,tsallis,2,norm_1,195.64565636250842,155.2807547639267
126-150,tsallis,2,temperature_1,0.3012062615044275,0.061994113403151294
126-150,tsallis,2,q_1,1.0925593245880267,0.04664132439520874
126-150,tsallis,2,norm_2,32886.32865506279,9485.534489161078
126-150,tsallis,2,temperature_2,0.05855855102828872,0.006843622708600582
126-150,tsallis,2,q_2,1.2366146585200237,0.01973261167346585
126-150,manuscript_juttner,3,norm_1,103.90676217759578,10.751241706081295
126-150,manuscript_juttner,3,temperature_1,0.46434561748871606,0.013711249877691206
126-150,manuscript_juttner,3,U_1,0.42194285541795323,0.200372125382781
126-150,manuscript_juttner,3,norm_2,6.787380556744365,1.7191826564023622
126-150,manuscript_juttner,3,temperature_2,1.062871407686445,0.06834226404094351
126-150,manuscript_juttner,3,U_2,0.9823233638899913,0.2533643671692905
126-150,manuscript_juttner,3,norm_3,1418.0761102892468,156.19840890868534
126-150,manuscript_juttner,3,temperature_3,0.1862815713111602,0.010060640054214962
126-150,manuscript_juttner,3,U_3,1.5617962429201115,0.16977025371852672
126-150,exact_bose_einstein,3,norm_1,67.55976794225987,6.776184594969614
126-150,exact_bose_einstein,3,temperature_1,0.5261579006223454,0.018141009649445983
126-150,exact_bose_einstein,3,U_1,0.26377456587277676,0.12753389005339602
126-150,exact_bose_einstein,3,norm_2,288.44974302435185,32.76940833303675
126-150,exact_bose_einstein,3,temperature_2,0.18086502151476208,0.013427412407174363
126-150,exact_bose_einstein,3,U_2,0.09010237589151185,0.22078525734836682
126-150,exact_bose_einstein,3,norm_3,1.7212880106869963,0.6103543878332666
126-150,exact_bose_einstein,3,temperature_3,1.2134896681507379,0.09768293337418854
126-150,exact_bose_einstein,3,U_3,0.03594480724796756,0.4643631515647275
126-150,tsallis,3,norm_1,37.65991294989331,0.643628116322926
126-150,tsallis,3,temperature_1,0.012741765845370838,0.9819843176627405
126-150,tsallis,3,q_1,1.6097752784090984,0.5995524212324113
126-150,tsallis,3,norm_2,26163.838200731694,0.6435449346572568
126-150,tsallis,3,temperature_2,0.06360917294632362,0.0002485665591987138
126-150,tsallis,3,q_2,1.1567674280781282,0.002152120162391302
126-150,tsallis,3,norm_3,550.2023673927667,0.6453522391373667
126-150,tsallis,3,temperature_3,0.23820716402592806,0.002157579670937118
126-150,tsallis,3,q_3,1.135476442050998,0.009171992015259978
21-30,manuscript_juttner,1,norm_1,23.441353010952927,1.1259200786814159
21-30,manuscript_juttner,1,temperature_1,0.6301353693333474,0.0072007548901542595
