,norm_1,temperature_1,beta_s_1,n_1
norm_1,15056.710787731403,-0.2120871288158992,0.17989700828052413,9.970323178806218e-09
temperature_1,-0.2120871288158992,3.083397938950607e-06,-2.7220281173234245e-06,-1.7114197416187741e-13
beta_s_1,0.17989700828052413,-2.7220281173234245e-06,2.7536877247785215e-06,6.386909541461818e-14
n_1,9.970323178806218e-09,-1.7114197416187741e-13,6.386909541461818e-14,1.1664023944756624e-13
