,norm_1,temperature_1,beta_s_1,n_1
norm_1,20045.070807042237,-0.41763977781069517,0.4344593566894709,-9.518390853319127e-07
temperature_1,-0.41763977781069517,8.997061347408318e-06,-9.815561150838527e-06,2.5287309453888085e-11
beta_s_1,0.4344593566894709,-9.815561150838527e-06,1.1960085253360663e-05,-1.4774461665049566e-11
n_1,-9.518390853319127e-07,2.5287309453888085e-11,-1.4774461665049566e-11,9.05442521353528e-10
