,norm_1,temperature_1,U_1
norm_1,945.1472209919924,-0.14690461263804527,3.953330446643592e-07
temperature_1,-0.14690461263804527,2.3672035083740132e-05,1.1231091258354324e-09
U_1,3.953330446643592e-07,1.1231091258354324e-09,1.4939410393240203e-09
