,norm_1,temperature_1,beta_s_1,n_1,norm_2,temperature_2,beta_s_2,n_2,norm_3,temperature_3,beta_s_3,n_3
norm_1,535.8513993760981,-0.3097951790458801,0.020670474823683106,2.4263348173350114,-15621.840298935538,0.0012349973997392498,0.014226822167507841,3.7249637414918477,-286.90904362787364,-0.0006821572857903129,-0.00625879813175545,-0.07837789951184924
temperature_1,-0.3097951790458801,0.00026515073391123405,-2.8679724238757905e-05,0.0010549051264909287,2.4689573426229243,6.093273082769631e-07,-1.142808655209778e-05,-0.0010403366515477535,0.20347025326919121,4.921080837647861e-08,-8.379778319591437e-07,6.075756367231892e-05
beta_s_1,0.020670474823683106,-2.8679724238757905e-05,5.735697953786867e-06,-3.415344119027293e-05,1.0435307476178386,-2.8672492931703554e-07,1.3388828727483855e-06,-0.00013582814618291828,-0.057822729474960574,4.697852096120148e-08,1.4552811448682796e-06,-1.554681216186829e-06
n_1,2.4263348173350114,0.0010549051264909287,-3.415344119027293e-05,0.17764665430944968,-98.84265161529152,1.1185844220982577e-05,8.123628236091855e-05,0.02095197407190148,-15.727549218137522,-1.5314879311250477e-05,0.00012427231295766882,0.0018435545949730989
norm_2,-15621.840298935538,2.4689573426229243,1.0435307476178386,-98.84265161529152,106525933.96098116,-28.68704885431232,32.87630797667355,-4170.130565810063,-2684107.634026088,-2.8789280092896488,5.051819031501586,-188.80985707545904
temperature_2,0.0012349973997392498,6.093273082769631e-07,-2.8672492931703554e-07,1.1185844220982577e-05,-28.68704885431232,1.2496928641858959e-05,-1.1377202664545713e-05,0.00024222908679153324,-0.7400172846568065,-8.830424200108981e-07,1.3836008123249397e-08,-9.554198525492856e-05
beta_s_2,0.014226822167507841,-1.142808655209778e-05,1.3388828727483855e-06,8.123628236091855e-05,32.87630797667355,-1.1377202664545713e-05,0.00036945465794407494,-0.001388814439517605,-0.25163458799510885,-1.218321408091878e-06,1.113486936207876e-05,0.0006826155295030138
n_2,3.7249637414918477,-0.0010403366515477535,-0.00013582814618291828,0.02095197407190148,-4170.130565810063,0.00024222908679153324,-0.001388814439517605,0.5433483598086256,418.6103450619207,0.0004920644775070943,-0.0008820836330491204,0.02930016723983845
norm_3,-286.90904362787364,0.20347025326919121,-0.057822729474960574,-15.727549218137522,-2684107.634026088,-0.7400172846568065,-0.25163458799510885,418.6103450619207,990670.2252621682,-0.7267242927812555,0.2050378243708637,39.32845098587177
temperature_3,-0.0006821572857903129,4.921080837647861e-08,4.697852096120148e-08,-1.5314879311250477e-05,-2.8789280092896488,-8.830424200108981e-07,-1.218321408091878e-06,0.0004920644775070943,-0.7267242927812555,4.871119321477489e-06,-3.20451176741465e-06,9.273844206184596e-05
beta_s_3,-0.00625879813175545,-8.379778319591437e-07,1.4552811448682796e-06,0.00012427231295766882,5.051819031501586,1.3836008123249397e-08,1.113486936207876e-05,-0.0008820836330491204,0.2050378243708637,-3.20451176741465e-06,4.577439532935056e-06,-2.7157187776497562e-05
n_3,-0.07837789951184924,6.075756367231892e-05,-1.554681216186829e-06,0.0018435545949730989,-188.80985707545904,-9.554198525492856e-05,0.0006826155295030138,0.02930016723983845,39.32845098587177,9.273844206184596e-05,-2.7157187776497562e-05,0.007288483416200761
