,norm_1,temperature_1,U_1,norm_2,temperature_2,U_2,norm_3,temperature_3,U_3
norm_1,27.885335224942224,-0.05291278326552809,-1.9177027468128453e-06,404.7461604760976,-0.020578019980554918,-0.15545339519269719,0.028101681512918607,-7.079894781608511e-08,0.2991776440604409
temperature_1,-0.05291278326552809,0.00010406479278476408,-6.607568775841159e-08,-0.7340684411887642,3.7163353430524474e-05,0.0002763513422999964,-5.9602502522145135e-05,1.3753780905779146e-10,-0.0006360049219297355
U_1,-1.9177027468128453e-06,-6.607568775841159e-08,3.8089387046967895e-07,-1.6310060539394675e-06,1.3155166155248778e-10,7.871621245873296e-10,3.013941776177071e-10,2.3747919778473604e-15,3.174448208244632e-09
norm_2,404.7461604760976,-0.7340684411887642,-1.6310060539394675e-06,138998.1563974762,3.0747987341166527,90.90292720345924,0.35657835653525105,-1.1756856473618937e-06,3.787863930619793
temperature_2,-0.020578019980554918,3.7163353430524474e-05,1.3155166155248778e-10,3.0747987341166527,0.00012083888948856848,0.0028170836516016643,-1.7978188708704766e-05,3.915039428061339e-11,-0.0001909837706644651
U_2,-0.15545339519269719,0.0002763513422999964,7.871621245873296e-10,90.90292720345924,0.0028170836516016643,0.0719016483674911,-0.00013003093683517413,1.4616159086936314e-10,-0.001380574764696597
norm_3,0.028101681512918607,-5.9602502522145135e-05,3.013941776177071e-10,0.35657835653525105,-1.7978188708704766e-05,-0.00013003093683517413,6.378293887023094e-05,7.324563001837849e-10,0.0007038772099986582
temperature_3,-7.079894781608511e-08,1.3753780905779146e-10,2.3747919778473604e-15,-1.1756856473618937e-06,3.915039428061339e-11,1.4616159086936314e-10,7.324563001837849e-10,8.327452323158626e-08,1.2118215369228432e-07
U_3,0.2991776440604409,-0.0006360049219297355,3.174448208244632e-09,3.787863930619793,-0.0001909837706644651,-0.001380574764696597,0.0007038772099986582,1.2118215369228432e-07,0.007891007231590313
