,norm_1,temperature_1,beta_s_1,n_1,norm_2,temperature_2,beta_s_2,n_2,norm_3,temperature_3,beta_s_3,n_3
norm_1,1431.9558602729057,-0.10129806185202729,-0.02241100677710573,2.3497680838792854,-2209.3935359932084,-0.020958416924090492,-0.10092250428554435,-2.2513734608045404,0.9234512670588653,-0.06717200009259067,-0.00010947623118039338,-8.95522110896118
temperature_1,-0.10129806185202729,2.0715530272269543e-05,-1.6203367733213604e-05,0.00017373581825504315,0.055023834619610815,4.411511493761544e-08,-1.5070466346108866e-06,0.00013769014550945298,-1.6051037407971515e-05,2.3779612645485423e-07,5.239317364963754e-10,-3.3031609024128293e-06
beta_s_1,-0.02241100677710573,-1.6203367733213604e-05,3.0666458239141925e-05,0.0001259354455477949,0.15720688008552447,2.2375245440226686e-06,1.7638508105982273e-05,4.097251312367262e-05,-0.00028916908201325164,1.7707883959443957e-05,2.9091295718708578e-08,0.002226459112614302
n_1,2.3497680838792854,0.00017373581825504315,0.0001259354455477949,0.09933448405224159,-10.68548086770084,-2.442822304913903e-05,0.0008332184089052963,0.002374483387768767,-0.0024922237513850345,0.00013514995582072833,2.2124502568423092e-07,0.017269334715856104
norm_2,-2209.3935359932084,0.055023834619610815,0.15720688008552447,-10.68548086770084,110749.62169690803,-0.9331003978564906,1.962492982116152,-12.815555437785452,-6.472543632938979,0.15146959105925573,0.00028204310764051873,13.116403788098951
temperature_2,-0.020958416924090492,4.411511493761544e-08,2.2375245440226686e-06,-2.442822304913903e-05,-0.9331003978564906,1.0226230429311405e-05,-1.381545176971771e-05,0.000291092372675569,-3.158041749622111e-05,1.0663745426533214e-06,1.8357536574171674e-09,0.00011868787862719555
beta_s_2,-0.10092250428554435,-1.5070466346108866e-06,1.7638508105982273e-05,0.0008332184089052963,1.962492982116152,-1.381545176971771e-05,9.508344883586482e-05,0.0005166238381742491,9.061118119807802e-05,5.749121908615895e-06,8.25133780862778e-09,0.0010785643981724806
n_2,-2.2513734608045404,0.00013769014550945298,4.097251312367262e-05,0.002374483387768767,-12.815555437785452,0.000291092372675569,0.0005166238381742491,0.03247698639618331,0.0035558335447112522,2.3786621703912193e-05,-3.056148212657579e-08,0.009621177070308571
norm_3,0.9234512670588653,-1.6051037407971515e-05,-0.00028916908201325164,-0.0024922237513850345,-6.472543632938979,-3.158041749622111e-05,9.061118119807802e-05,0.0035558335447112522,0.7366261936989305,-0.0010146954366997603,5.273808995701299e-07,1.0861979329135003
temperature_3,-0.06717200009259067,2.3779612645485423e-07,1.7707883959443957e-05,0.00013514995582072833,0.15146959105925573,1.0663745426533214e-06,5.749121908615895e-06,2.3786621703912193e-05,-0.0010146954366997603,7.886648758686478e-05,-1.3972425623804404e-07,0.008436460745610818
beta_s_3,-0.00010947623118039338,5.239317364963754e-10,2.9091295718708578e-08,2.2124502568423092e-07,0.00028204310764051873,1.8357536574171674e-09,8.25133780862778e-09,-3.056148212657579e-08,5.273808995701299e-07,-1.3972425623804404e-07,2.6438275177655933e-08,-2.917242827209931e-06
n_3,-8.95522110896118,-3.3031609024128293e-06,0.002226459112614302,0.017269334715856104,13.116403788098951,0.00011868787862719555,0.0010785643981724806,0.009621177070308571,1.0861979329135003,0.008436460745610818,-2.917242827209931e-06,2.9285072151941143
