,norm_1,temperature_1,beta_s_1,n_1,norm_2,temperature_2,beta_s_2,n_2,norm_3,temperature_3,beta_s_3,n_3
norm_1,154.82119608864812,-0.1024530546381375,0.007510433230345424,1.8847402725604914,-59.954981166707945,0.00029082127042613323,0.04949474252381286,0.027309401761035117,-48.96643970268585,-0.0038875534229253924,-0.01236197404171236,-0.58275970401427
temperature_1,-0.1024530546381375,0.00010851943786940536,-1.229120667863652e-05,0.000346694621257958,0.09970639701608629,6.586991503702322e-07,4.36511740199679e-05,3.1906366019646425e-05,0.013149419904795009,9.334794072208052e-08,7.931519731006865e-07,7.007447050421948e-05
beta_s_1,0.007510433230345424,-1.229120667863652e-05,2.1901255532762812e-06,-2.5580262757772418e-05,-0.021666392529078857,-2.0173516091125533e-07,-2.013983346197685e-05,-2.084108824289678e-05,-0.00034536963648349963,4.55886459196568e-07,1.9110699036286602e-06,5.97868852167507e-05
n_1,1.8847402725604914,0.000346694621257958,-2.5580262757772418e-05,0.15403376857402318,-2.4567673862036985,5.282236958816116e-06,-0.0008005247566486877,-0.00429266249537142,-2.011276635526557,-4.6794531257911875e-05,0.00010682335956095965,-0.003756748848604203
norm_2,-59.954981166707945,0.09970639701608629,-0.021666392529078857,-2.4567673862036985,14566053.344226558,-18.23495585776104,418.55656503052774,-714.0596625757181,-18225.76739587701,-0.08802121899848436,-0.13956354634996995,-44.61204750328395
temperature_2,0.00029082127042613323,6.586991503702322e-07,-2.0173516091125533e-07,5.282236958816116e-06,-18.23495585776104,2.454175743212272e-05,-0.0004239422040579679,0.0016594897544281535,-0.05100212588245057,1.151782897371746e-06,-2.684254853365306e-06,-6.134614491529216e-05
beta_s_2,0.04949474252381286,4.36511740199679e-05,-2.013983346197685e-05,-0.0008005247566486877,418.55656503052774,-0.0004239422040579679,0.08157988809513737,0.7553893776120459,-5.58229909406017,-7.728555426961243e-05,-0.00012197484236090685,-0.020811392409481815
n_2,0.027309401761035117,3.1906366019646425e-05,-2.084108824289678e-05,-0.00429266249537142,-714.0596625757181,0.0016594897544281535,0.7553893776120459,12.529839421752248,-13.796596092478548,-0.0004833048798385931,0.00018450259580881216,-0.06429858875251397
norm_3,-48.96643970268585,0.013149419904795009,-0.00034536963648349963,-2.011276635526557,-18225.76739587701,-0.05100212588245057,-5.58229909406017,-13.796596092478548,9471.433788275026,-0.26055119573215035,0.28132174386037667,0.23317102026909814
temperature_3,-0.0038875534229253924,9.334794072208052e-08,4.55886459196568e-07,-4.6794531257911875e-05,-0.08802121899848436,1.151782897371746e-06,-7.728555426961243e-05,-0.0004833048798385931,-0.26055119573215035,9.873513655868831e-06,-6.364562570233291e-06,0.00027795422866675937
beta_s_3,-0.01236197404171236,7.931519731006865e-07,1.9110699036286602e-06,0.00010682335956095965,-0.13956354634996995,-2.684254853365306e-06,-0.00012197484236090685,0.00018450259580881216,0.28132174386037667,-6.364562570233291e-06,2.176093220299962e-05,0.00040075955370239984
n_3,-0.58275970401427,7.007447050421948e-05,5.97868852167507e-05,-0.003756748848604203,-44.61204750328395,-6.134614491529216e-05,-0.020811392409481815,-0.06429858875251397,0.23317102026909814,0.00027795422866675937,0.00040075955370239984,0.0375152276275718
