,norm_1,temperature_1,beta_s_1,n_1
norm_1,293367.04589254153,-2.3700963615909596,0.9440649530946088,-79.98539774586901
temperature_1,-2.3700963615909596,1.9264999646968993e-05,-7.631138074059365e-06,0.0006612102276849274
beta_s_1,0.9440649530946088,-7.631138074059365e-06,3.4715573427271083e-06,-0.00023196714290664024
n_1,-79.98539774586901,0.0006612102276849274,-0.00023196714290664024,0.02600148704939534
