,norm_1,temperature_1,beta_s_1,n_1,norm_2,temperature_2,beta_s_2,n_2
norm_1,130572242.87775254,-3.3323086168282656,513.5903314584929,3317.0744033075334,60866.594248632675,0.6900450075470876,-0.1649257155389211,103.11000932468296
temperature_1,-3.3323086168282656,8.909506578751254e-07,0.00010036700608453709,0.0006760651082672899,0.014400060569495972,9.858645855251026e-08,5.6553741510813e-08,2.372375394301256e-05
beta_s_1,513.5903314584929,0.00010036700608453709,0.025443291775558607,0.15995584019275302,3.7595244561051073,2.226470956448872e-05,1.88097299988479e-05,0.0061058865258845334
n_1,3317.0744033075334,0.0006760651082672899,0.15995584019275302,1.0289429332019795,26.032391066283772,0.0001572341068942128,0.00012209372002200744,0.04213794945773826
norm_2,60866.594248632675,0.014400060569495972,3.7595244561051073,26.032391066283772,2606.939209637898,-0.01800082759927385,0.01457055414915976,1.5463507806064551
temperature_2,0.6900450075470876,9.858645855251026e-08,2.226470956448872e-05,0.0001572341068942128,-0.01800082759927385,6.434375558204663e-07,-2.1028362486159465e-07,2.568412623213663e-05
beta_s_2,-0.1649257155389211,5.6553741510813e-08,1.88097299988479e-05,0.00012209372002200744,0.01457055414915976,-2.1028362486159465e-07,3.4036289857013957e-06,7.677600678155771e-05
n_2,103.11000932468296,2.372375394301256e-05,0.0061058865258845334,0.04213794945773826,1.5463507806064551,2.568412623213663e-05,7.677600678155771e-05,0.006640601233456004
