,norm_1,temperature_1,beta_s_1,n_1,norm_2,temperature_2,beta_s_2,n_2
norm_1,628390.1078605662,-0.8591000118204708,3.827823172446613e-09,-2.839938778367223e-06,74505.97294654742,-4.470695100780538,1.1573091850937096,-68.75511082542526
temperature_1,-0.8591000118204708,1.4006552939059006e-06,-1.9921007447345864e-14,8.353525468297625e-12,-0.19812829082202124,8.46197853302e-06,-1.0612125601832467e-05,7.002291040542943e-05
beta_s_1,3.827823172446613e-09,-1.9921007447345864e-14,2.1225663309203602e-14,-1.5899221080687366e-18,2.5964913478786043e-09,-5.240573710761398e-14,2.0208103444437422e-13,6.329127799006147e-13
n_1,-2.839938778367223e-06,8.353525468297625e-12,-1.5899221080687366e-18,1.502555272914647e-10,2.579882352733763e-07,-8.262603360768935e-12,2.8510104491614818e-11,-2.6806346085412602e-11
norm_2,74505.97294654742,-0.19812829082202124,2.5964913478786043e-09,2.579882352733763e-07,760245.6451905638,-24.048544310578702,52.6092226931015,-7.514278069264583
temperature_2,-4.470695100780538,8.46197853302e-06,-5.240573710761398e-14,-8.262603360768935e-12,-24.048544310578702,0.0007711457160189425,-0.0016418452964216941,0.0005816028051597551
beta_s_2,1.1573091850937096,-1.0612125601832467e-05,2.0208103444437422e-13,2.8510104491614818e-11,52.6092226931015,-0.0016418452964216941,0.0037649500070795682,0.0006068540966327619
n_2,-68.75511082542526,7.002291040542943e-05,6.329127799006147e-13,-2.6806346085412602e-11,-7.514278069264583,0.0005816028051597551,0.0006068540966327619,0.013643828199613054
