,norm_1,temperature_1,U_1
norm_1,84.66261325187617,-0.0423345225956117,4.084802991945111e-08
temperature_1,-0.0423345225956117,2.2265186159548634e-05,3.5439660381964124e-10
U_1,4.084802991945111e-08,3.5439660381964124e-10,8.968918383735089e-10
