,norm_1,temperature_1,q_1
norm_1,3950.0801785815515,-0.07320723857190553,0.038333144931567635
temperature_1,-0.07320723857190553,1.4209228762644634e-06,-7.937772319005772e-07
q_1,0.038333144931567635,-7.937772319005772e-07,5.354071897529777e-07
