,norm_1,temperature_1,beta_s_1,n_1
norm_1,751373392.8742561,-487.73840630940623,156.03896172517696,-6695.040531818459
temperature_1,-487.73840630940623,0.0003166641556599353,-0.00010129516821676387,0.0043503920106036905
beta_s_1,156.03896172517696,-0.00010129516821676387,3.247645547280345e-05,-0.001387988290983089
n_1,-6695.040531818459,0.0043503920106036905,-0.001387988290983089,0.06021375373185891
