,norm_1,temperature_1,q_1,norm_2,temperature_2,q_2,norm_3,temperature_3,q_3
norm_1,0.6436389252163569,-0.027310232622440367,-0.0196605630621623,-2.016006801898172,0.00040117612361781254,-0.0006693915955434481,-36.073442314701246,7.72987117922933e-05,-0.0007580529120079396
temperature_1,-0.027310232622440367,0.004720346006098524,-0.002237408958833981,-0.15245564232472267,3.4960597409883374e-05,-5.2459484548862914e-05,-2.909686137423296,6.384900507668633e-06,-5.6998819818215564e-05
q_1,-0.0196605630621623,-0.002237408958833981,0.003288291158332383,0.23474717314854054,-5.212683978861186e-05,8.57778858899962e-05,4.567935606348415,-9.97809392702216e-06,9.615132782997563e-05
norm_2,-2.016006801898172,-0.15245564232472267,0.23474717314854054,1557.7052588220306,-0.13452627269114648,0.04790843416467015,-6607.439082988412,0.009113331656271692,-0.25812522363678025
temperature_2,0.00040117612361781254,3.4960597409883374e-05,-5.212683978861186e-05,-0.13452627269114648,1.3154996326833576e-05,-6.268021261242152e-06,0.06867831651872312,4.3895364529603255e-08,1.4677559586621796e-05
q_2,-0.0006693915955434481,-5.2459484548862914e-05,8.57778858899962e-05,0.04790843416467015,-6.268021261242152e-06,5.200265020691996e-06,0.3386668810963377,-6.821243468832782e-07,1.7638043636345554e-06
norm_3,-36.073442314701246,-2.909686137423296,4.567935606348415,-6607.439082988412,0.06867831651872312,0.3386668810963377,6315028.192589354,-5.628505724741683,16.808236259724122
temperature_3,7.72987117922933e-05,6.384900507668633e-06,-9.97809392702216e-06,0.009113331656271692,4.3895364529603255e-08,-6.821243468832782e-07,-5.628505724741683,5.407802667705411e-06,-1.931054468043972e-05
q_3,-0.0007580529120079396,-5.6998819818215564e-05,9.615132782997563e-05,-0.25812522363678025,1.4677559586621796e-05,1.7638043636345554e-06,16.808236259724122,-1.931054468043972e-05,0.00013021766873331752
